* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:30:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RIGHT_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 42.563, -88.5915
20.507812, 44.153, -98.1170
20.874023, 45.371, -105.3360
21.240234, 46.677, -109.5734
21.606445, 48.445, -113.8257
21.972656, 50.436, -121.8387
22.338867, 52.129, -134.0327
22.705078, 53.196, -148.4025
23.071289, 53.533, -162.0745
23.437500, 53.280, -171.4031
23.803711, 53.159, -173.1876
24.169922, 54.308, -171.5132
24.536132, 56.421, -176.1501
24.902343, 58.279, 171.5848
25.268554, 59.293, 155.3193
25.634765, 59.272, 138.7679
26.000976, 58.169, 126.6889
26.367187, 56.627, 127.3229
26.733398, 57.431, 139.8692
27.099609, 60.562, 140.0004
27.465820, 63.176, 126.7065
27.832031, 64.546, 107.9882
28.198242, 64.550, 88.5562
28.564452, 62.943, 73.7811
28.930663, 60.016, 79.0260
29.296874, 62.042, 108.1531
29.663085, 67.489, 106.0434
30.029296, 71.483, 87.0235
30.395507, 74.190, 62.7755
30.761718, 75.945, 36.4886
31.127929, 76.925, 9.2399
31.494140, 77.216, -18.5231
31.860351, 76.853, -46.5425
32.226562, 75.819, -74.5603
32.592772, 74.036, -102.1813
32.958983, 71.307, -128.6453
33.325194, 67.178, -151.9719
33.691405, 60.553, -163.4667
34.057616, 54.774, -117.8146
34.423827, 59.860, -100.1311
34.790038, 62.102, -116.8525
35.156249, 62.033, -138.8307
35.522460, 60.151, -160.2667
35.888671, 56.258, -175.3571
36.254882, 50.658, -163.5964
36.621092, 51.913, -127.8378
36.987303, 55.319, -131.5267
37.353514, 56.499, -148.1580
37.719725, 55.890, -166.4523
38.085936, 53.690, 178.8120
38.452147, 50.185, 176.0875
38.818358, 48.157, -165.5423
39.184569, 49.935, -154.6095
39.550780, 51.549, -161.2615
39.916991, 51.848, -173.2780
40.283201, 51.019, 176.1403
40.649412, 49.561, 171.4809
41.015623, 48.492, 173.9192
41.381834, 48.518, 176.8478
41.748045, 48.926, 174.5665
42.114256, 48.949, 169.1998
42.480467, 48.548, 164.8977
42.846678, 48.201, 163.7377
43.212889, 48.394, 163.3600
43.579100, 48.902, 159.8410
