freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 2.205, -0.991, 1.974, -1.000, 2.009, -1.000, 1.987, -1.000, -5.000, -32.000, 0.000, Forward, -10.44, -2.33, 8.3, 0.220
63, 1/3, 3.152, -0.990, 3.342, -0.998, 0.000, 0.000, 3.337, -0.998, -5.000, -27.000, 0.000, Forward, -11.54, -1.98, 6.6, 0.270
80, 1/3, 3.135, -0.997, 3.389, -1.000, 0.000, 0.000, 3.379, -1.000, -5.000, -27.000, 0.000, Forward, -6.95, -0.37, 16.8, 0.250
100, 1/3, 3.832, -0.999, 3.765, -1.000, 0.000, 0.000, 3.765, -1.000, -5.000, -25.000, 0.000, Forward, -9.30, -4.28, 10.5, 0.312
125, 1/3, 2.187, -0.990, 2.227, -0.997, 2.335, -0.998, 2.359, -0.999, -5.000, -41.000, 0.000, Forward, -6.75, -3.20, 17.5, 0.191
160, 1/3, 1.609, -0.997, 1.621, -0.998, 1.635, -0.999, 1.651, -1.000, -5.000, -56.000, 0.000, Forward, -2.15, -0.25, 37.9, 0.129
200, 1/3, 0.779, -0.985, 1.303, -0.994, 1.347, -0.998, 1.426, -0.998, -5.000, -48.000, 0.000, Forward, 1.35, 4.51, 57.7, 0.080
250, 1/3, 0.622, -0.979, 0.683, -0.985, 0.887, -0.985, 0.968, -0.996, -5.000, -56.000, 0.000, Forward, 4.91, 7.59, 75.6, 0.057
315, 1/3, 0.315, -0.943, 0.604, -0.990, 0.560, -0.994, 0.573, -0.997, -5.000, -52.000, 0.000, Forward, 10.15, 11.87, 91.2, 0.025
400, 1/3, 0.293, -0.948, 0.412, -0.988, 0.442, -0.995, 0.440, -0.998, -5.000, -49.000, 0.000, Forward, 9.75, 14.75, 90.4, 0.020
500, 1/3, 0.321, -0.962, 0.479, -0.986, 0.494, -0.995, 0.538, -0.998, -5.000, -59.000, 0.000, Forward, 10.29, 15.64, 91.4, 0.023
630, 1/3, 0.256, -0.928, 0.590, -0.995, 0.549, -0.995, 0.588, -0.996, -9.000, -23.000, 0.000, Forward, 10.77, 13.60, 92.3, 0.021
800, 1/3, 0.586, -0.880, 0.559, -0.995, 0.512, -0.995, 0.538, -0.998, -5.000, -58.000, 0.000, Forward, 8.19, 11.87, 86.8, 0.020
1000, 1/3, 0.283, -0.973, 0.609, -0.993, 0.598, -0.997, 0.596, -0.999, -8.000, -58.000, 0.000, Forward, 10.79, 13.12, 92.3, 0.019
1250, 1/3, 0.242, -0.967, 0.752, -0.987, 0.763, -0.996, 0.752, -0.999, -10.000, -60.000, 0.000, Forward, 11.88, 14.08, 93.9, 0.016
1600, 1/3, 0.118, -0.973, 0.709, -0.979, 0.776, -0.988, 0.834, -0.998, -12.000, -58.000, 0.000, Forward, 14.19, 17.41, 96.3, 0.011
2000, 1/3, 0.121, -0.947, 0.565, -0.987, 0.753, -0.987, 0.556, -0.997, -13.000, -22.000, 0.000, Forward, 14.09, 17.58, 96.2, 0.011
2500, 1/3, 0.174, -0.937, 0.620, -0.987, 0.694, -0.994, 0.681, -0.997, -10.000, -31.000, 0.000, Forward, 13.70, 15.71, 95.9, 0.011
3150, 1/3, 0.280, -0.893, 0.619, -0.993, 0.801, -0.989, 1.016, -0.994, -12.000, -50.000, 0.000, Forward, 12.80, 14.84, 95.0, 0.011
4000, 1/3, 0.283, -0.932, 0.757, -0.997, 0.843, -0.997, 0.872, -0.999, -10.000, -38.000, 0.000, Forward, 11.19, 13.94, 92.9, 0.014
5000, 1/3, 0.291, -0.934, 0.815, -0.986, 0.819, -0.996, 0.930, -0.998, -10.000, -51.000, 0.000, Forward, 11.87, 14.20, 93.9, 0.015
6300, 1/3, 0.323, -0.962, 0.719, -0.991, 0.774, -0.997, 0.807, -0.999, -11.000, -35.000, 0.000, Forward, 11.20, 14.52, 92.9, 0.015
8000, 1/3, 0.342, -0.965, 0.616, -0.987, 0.693, -0.994, 0.727, -0.999, -11.000, -34.000, 0.000, Forward, 10.52, 14.63, 91.9, 0.017
10000, 1/3, 0.339, -0.989, 0.545, -0.988, 0.577, -0.996, 0.593, -0.997, -5.000, -39.000, 0.000, Forward, 8.85, 14.53, 88.5, 0.022

