* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:31:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SUMA_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 48.656, -90.3591
20.507812, 50.212, -99.4042
20.874023, 51.380, -106.5870
21.240234, 52.630, -110.9598
21.606445, 54.363, -115.2422
21.972656, 56.357, -123.1534
22.338867, 58.078, -135.2083
22.705078, 59.177, -149.4687
23.071289, 59.534, -163.1407
23.437500, 59.277, -172.6700
23.803711, 59.100, -174.7698
24.169922, 60.168, -173.0780
24.536132, 62.262, -177.4373
24.902343, 64.152, 170.5000
25.268554, 65.215, 154.3718
25.634765, 65.248, 137.9403
26.000976, 64.193, 125.9086
26.367187, 62.668, 126.3397
26.733398, 63.404, 138.7594
27.099609, 66.489, 139.1683
27.465820, 69.102, 126.0328
27.832031, 70.491, 107.3476
28.198242, 70.528, 87.9036
28.564452, 68.974, 73.0651
28.930663, 66.094, 77.8587
29.296874, 68.004, 106.8340
29.663085, 73.424, 105.2676
30.029296, 77.417, 86.4862
30.395507, 80.122, 62.3074
30.761718, 81.877, 35.9926
31.127929, 82.864, 8.6721
31.494140, 83.172, -19.1574
31.860351, 82.829, -47.2014
32.226562, 81.818, -75.1860
32.592772, 80.053, -102.7211
32.958983, 77.340, -129.0552
33.325194, 73.234, -152.1788
33.691405, 66.696, -163.2662
34.057616, 61.156, -119.4405
34.423827, 66.014, -102.2791
34.790038, 68.240, -118.8938
35.156249, 68.197, -140.9959
35.522460, 66.359, -162.8453
35.888671, 62.498, -179.1225
36.254882, 56.526, -170.2180
36.621092, 57.281, -130.0991
36.987303, 60.977, -132.5072
37.353514, 62.298, -149.3656
37.719725, 61.771, -168.1783
38.085936, 59.616, 176.3013
38.452147, 56.043, 172.4313
38.818358, 53.727, -168.8589
39.184569, 55.543, -156.3312
39.550780, 57.261, -162.8737
39.916991, 57.583, -175.3974
40.283201, 56.689, 173.2127
40.649412, 55.048, 167.8802
41.015623, 53.746, 170.8738
41.381834, 53.764, 175.2521
41.748045, 54.335, 173.5366
42.114256, 54.498, 167.8467
42.480467, 54.124, 162.8728
42.846678, 53.664, 161.3780
43.212889, 53.705, 161.6143
43.579100, 54.170, 159.0717
43.945311, 54.440, 152.7123
44.311521, 54.108, 145.3531
44.677732, 53.226, 141.5319
45.043943, 52.597, 145.0985
45.410154, 53.410, 151.2086
45.776365, 55.121, 150.0702
46.142576, 56.418, 141.7723
46.508787, 56.734, 130.8715
46.874998, 55.940, 122.4798
47.241209, 54.510, 124.1279
47.607420, 54.806, 138.0481
47.973631, 57.639, 143.3229
48.339841, 60.354, 134.8868
48.706052, 61.954, 120.8611
49.072263, 62.283, 107.1652
49.438474, 61.363, 100.5264
49.804685, 60.626, 111.5374
50.170896, 63.618, 126.9116
50.537107, 67.955, 122.3230
50.903318, 71.397, 106.0489
51.269529, 73.880, 85.0279
51.635740, 75.577, 62.0723
52.001951, 76.593, 38.5306
52.368161, 76.965, 15.2165
52.734372, 76.692, -7.2217
53.100583, 75.751, -28.0187
53.466794, 74.123, -45.9232
53.833005, 71.881, -58.6674
54.199216, 69.487, -63.0530
54.565427, 68.073, -59.6624
54.931638, 68.055, -57.6331
55.297849, 68.325, -61.4239
55.664060, 68.162, -67.3673
56.030271, 67.659, -71.1810
56.396481, 67.400, -71.6849
56.762692, 67.751, -72.4474
57.128903, 68.272, -76.7453
57.495114, 68.368, -83.0206
57.861325, 67.933, -86.6436
58.227536, 67.752, -83.3503
58.593747, 69.128, -78.2642
58.959958, 71.535, -82.1110
59.326169, 73.671, -95.0576
59.692380, 75.067, -113.2787
60.058591, 75.640, -134.1409
60.424801, 75.351, -155.9653
60.791012, 74.089, -177.1956
61.157223, 71.611, 164.8491
61.523434, 67.641, 158.0806
61.889645, 64.775, -179.4028
62.255856, 67.859, -163.8052
62.622067, 70.826, -174.7181
62.988278, 72.281, 165.6686
63.354489, 72.512, 143.6750
63.720700, 71.682, 122.0662
64.086910, 69.843, 103.5710
64.453121, 67.192, 92.8948
64.819332, 64.995, 95.4854
65.185543, 65.184, 101.2274
65.551754, 66.252, 95.8594
65.917965, 66.400, 84.6841
66.284176, 65.317, 77.7776
66.650387, 64.516, 86.5776
67.016598, 67.282, 97.5261
67.382809, 71.250, 89.0293
67.749020, 74.384, 69.2358
68.115230, 76.624, 44.8647
68.481441, 78.115, 18.7634
68.847652, 78.932, -7.7053
69.213863, 79.078, -33.7904
69.580074, 78.506, -58.9489
69.946285, 77.123, -82.4597
70.312496, 74.777, -102.7212
70.678707, 71.312, -115.3010
71.044918, 67.600, -109.2645
71.411129, 67.639, -90.8276
71.777340, 69.779, -91.5095
72.143550, 70.853, -103.7285
72.509761, 70.543, -117.3898
72.875972, 69.032, -125.0269
73.242183, 67.640, -117.6997
73.608394, 69.294, -105.2173
73.974605, 72.387, -108.8873
74.340816, 74.753, -123.7681
74.707027, 76.142, -143.5856
75.073238, 76.650, -165.7767
75.439449, 76.356, 170.6724
75.805660, 75.288, 146.2148
76.171870, 73.410, 121.1619
76.538081, 70.576, 95.9246
76.904292, 66.369, 71.2756
77.270503, 59.462, 49.5775
77.636714, 41.896, 82.5132
78.002925, 53.913, 161.3788
78.369136, 56.444, 142.7031
78.735347, 54.283, 121.0709
79.101558, 44.360, 97.9515
79.467769, 48.157, -101.3861
79.833980, 55.905, -124.5525
80.200190, 58.797, -147.6156
80.566401, 59.839, -170.9594
80.932612, 59.809, 165.5599
81.298823, 58.983, 142.0417
81.665034, 57.386, 118.0483
82.031245, 54.890, 92.1145
82.397456, 51.432, 61.8678
82.763667, 47.489, 29.5522
83.129878, 44.552, 24.5784
83.496089, 50.293, 47.2969
83.862300, 57.896, 37.1626
84.228510, 63.317, 17.3129
84.594721, 67.140, -4.7573
84.960932, 69.798, -27.4003
85.327143, 71.531, -49.8109
85.693354, 72.472, -71.1639
86.059565, 72.697, -90.3722
86.425776, 72.300, -105.9374
86.791987, 71.529, -116.1085
87.158198, 70.920, -120.4873
87.524409, 70.939, -122.6617
87.890619, 71.271, -127.1316
88.256830, 71.238, -133.6395
88.623041, 70.562, -137.8802
88.989252, 69.853, -134.3732
89.355463, 70.681, -126.1827
89.721674, 72.797, -126.4236
90.087885, 74.535, -136.3961
90.454096, 75.137, -150.9111
90.820307, 74.219, -164.8098
91.186518, 71.314, -167.7570
91.552729, 69.851, -133.8826
91.918939, 75.596, -116.5123
92.285150, 80.300, -128.5728
92.651361, 83.338, -148.8073
93.017572, 85.222, -171.9364
93.383783, 86.215, 163.6686
93.749994, 86.441, 138.7474
94.116205, 85.935, 113.8033
94.482416, 84.658, 89.3621
94.848627, 82.483, 66.2435
95.214838, 79.139, 46.2998
95.581049, 74.165, 35.5291
95.947259, 68.804, 54.6862
96.313470, 70.242, 81.6675
96.679681, 72.409, 75.7876
97.045892, 72.622, 59.6984
97.412103, 71.109, 42.4730
97.778314, 67.839, 30.0936
98.144525, 63.152, 36.1445
98.510736, 62.301, 66.0847
98.876947, 64.815, 70.9900
99.243158, 65.754, 59.5624
99.609369, 64.875, 44.6482
99.975579, 62.224, 32.4404
100.341790, 57.887, 32.7913
100.708001, 55.128, 59.2283
101.074212, 56.898, 74.1888
101.440423, 57.867, 68.2288
101.806634, 56.843, 56.5891
102.172845, 53.492, 46.9409
102.539056, 46.283, 55.3649
102.905267, 44.911, 139.2208
103.271478, 51.425, 156.7377
103.637689, 54.448, 157.6652
104.003899, 56.094, 158.7554
104.370110, 57.328, 162.2692
104.736321, 58.833, 167.4919
105.102532, 60.967, 170.7787
105.468743, 63.447, 168.5012
105.834954, 65.755, 160.3706
106.201165, 67.576, 148.0621
106.567376, 68.790, 133.3586
106.933587, 69.356, 117.6885
107.299798, 69.264, 102.2361
107.666009, 68.529, 88.1608
108.032219, 67.229, 76.7694
108.398430, 65.582, 69.3549
108.764641, 63.985, 66.1094
109.130852, 62.753, 64.8217
109.497063, 61.715, 62.8741
109.863274, 60.461, 60.8099
110.229485, 58.946, 62.0244
110.595696, 57.863, 68.3440
110.961907, 57.811, 73.7760
111.328118, 57.934, 71.9761
111.694328, 57.078, 64.5925
112.060539, 54.469, 57.2964
112.426750, 49.585, 64.3779
112.792961, 47.998, 105.8845
113.159172, 51.025, 114.4108
113.525383, 50.312, 97.3853
113.891594, 39.220, 27.7559
114.257805, 54.369, -101.7458
114.624016, 62.467, -129.7988
114.990227, 67.221, -153.9050
115.356438, 70.310, -176.9678
115.722648, 72.252, 160.5542
116.088859, 73.269, 138.5981
116.455070, 73.465, 117.3340
116.821281, 72.881, 97.2695
117.187492, 71.511, 79.5493
117.553703, 69.370, 66.6111
117.919914, 66.807, 62.9946
118.286125, 65.283, 70.7361
118.652336, 65.817, 77.0054
119.018547, 66.718, 73.3743
119.384758, 66.786, 64.6992
119.750968, 65.807, 57.0068
120.117179, 64.178, 56.5708
120.483390, 63.494, 65.9094
120.849601, 64.779, 71.8367
121.215812, 66.294, 66.5349
121.582023, 66.851, 55.2991
121.948234, 66.123, 44.4670
122.314445, 64.213, 42.8647
122.680656, 63.588, 60.6238
123.046867, 66.987, 71.6206
123.413078, 70.620, 62.0676
123.779288, 73.173, 43.0820
