* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:37:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SUMA_SUB_LEWO
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 48.628, -89.7543
20.507812, 50.323, -98.8658
20.874023, 51.541, -106.9976
21.240234, 52.656, -112.4267
21.606445, 54.164, -116.5578
21.972656, 56.078, -123.2322
22.338867, 57.906, -134.1341
22.705078, 59.209, -147.9173
23.071289, 59.789, -162.0278
23.437500, 59.666, -173.1990
23.803711, 59.304, -177.6558
24.169922, 59.873, -175.9319
24.536132, 61.775, -177.6219
24.902343, 63.834, 172.3865
25.268554, 65.195, 157.0845
25.634765, 65.566, 140.3600
26.000976, 64.834, 126.3953
26.367187, 63.258, 122.2109
26.733398, 62.979, 133.3418
27.099609, 65.712, 139.1156
27.465820, 68.618, 129.0334
27.832031, 70.383, 111.3358
28.198242, 70.834, 91.6504
28.564452, 69.775, 74.6703
28.930663, 67.044, 71.3733
29.296874, 66.826, 99.4809
29.663085, 72.214, 107.4551
30.029296, 76.637, 91.6278
30.395507, 79.641, 68.4191
30.761718, 81.623, 42.4343
31.127929, 82.808, 15.1941
31.494140, 83.308, -12.6321
31.860351, 83.162, -40.6600
32.226562, 82.360, -68.5882
32.592772, 80.833, -96.0588
32.958983, 78.429, -122.4312
33.325194, 74.830, -146.0830
33.691405, 69.377, -161.0792
34.057616, 62.981, -140.0634
34.423827, 65.515, -110.5928
34.790038, 68.174, -122.1141
35.156249, 68.573, -143.6663
35.522460, 67.156, -167.1523
35.888671, 63.720, 171.1998
36.254882, 56.917, 162.3087
36.621092, 52.676, -134.3530
36.987303, 59.107, -125.6544
37.353514, 61.465, -144.2460
37.719725, 61.470, -166.0374
38.085936, 59.637, 173.8983
38.452147, 55.860, 162.0032
38.818358, 51.295, 177.5219
39.184569, 52.856, -155.2289
39.550780, 55.563, -159.3583
39.916991, 56.356, -173.8558
40.283201, 55.520, 171.3277
40.649412, 53.402, 162.2869
41.015623, 51.071, 165.8061
41.381834, 50.796, 176.5388
41.748045, 51.902, 177.1754
42.114256, 52.392, 169.6051
42.480467, 51.859, 161.5710
42.846678, 50.760, 159.0378
43.212889, 50.313, 162.7933
43.579100, 51.079, 163.6116
43.945311, 51.911, 156.0181
44.311521, 51.867, 143.1504
44.677732, 50.508, 130.0199
45.043943, 47.469, 125.1339
45.410154, 44.555, 149.2639
45.776365, 47.961, 175.2906
46.142576, 51.685, 172.5032
46.508787, 53.663, 161.7902
46.874998, 54.360, 152.1326
47.241209, 54.554, 148.3015
47.607420, 55.513, 149.7095
47.973631, 57.640, 147.5604
48.339841, 59.867, 137.7690
48.706052, 61.377, 123.4368
49.072263, 61.828, 108.7603
49.438474, 61.053, 99.2665
49.804685, 59.813, 105.6562
50.170896, 61.931, 124.4844
50.537107, 66.479, 124.1970
50.903318, 70.292, 109.3514
51.269529, 73.093, 88.7236
51.635740, 75.062, 65.7992
52.001951, 76.321, 42.1238
52.368161, 76.918, 18.5541
52.734372, 76.860, -4.2842
53.100583, 76.124, -25.6956
53.466794, 74.683, -44.5551
53.833005, 72.574, -58.7568
54.199216, 70.148, -64.8989
54.565427, 68.515, -61.9797
54.931638, 68.445, -58.8311
55.297849, 68.853, -62.2137
55.664060, 68.772, -68.8597
56.030271, 68.137, -73.5520
56.396481, 67.576, -73.2220
56.762692, 67.875, -71.0817
57.128903, 68.742, -73.3360
57.495114, 69.292, -80.0243
57.861325, 69.114, -86.6659
58.227536, 68.513, -87.3976
58.593747, 68.905, -80.5490
58.959958, 71.092, -77.8353
59.326169, 73.623, -86.2488
59.692380, 75.521, -102.1850
60.058591, 76.600, -122.0373
60.424801, 76.844, -143.7637
60.791012, 76.208, -166.0356
61.157223, 74.536, 172.5085
61.523434, 71.460, 154.5995
61.889645, 66.362, 150.5012
62.255856, 63.535, -171.9735
62.622067, 68.059, -158.8715
62.988278, 70.985, -173.4729
63.354489, 72.173, 165.0265
63.720700, 72.085, 141.4390
64.086910, 70.848, 117.5648
64.453121, 68.323, 94.9037
64.819332, 63.991, 76.7344
65.185543, 56.884, 79.2544
65.551754, 55.750, 130.2520
