Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 58.650, 166.1077
31.500000, 77.156, -20.7236
40.000000, 51.067, 179.6413
50.000000, 55.443, 119.4146
63.000000, 66.174, 163.8650
80.000000, 51.865, -141.9105
100.000000, 59.775, 74.4026
125.000000, 68.094, -8.9619
160.000000, 63.181, 106.0869
200.000000, 62.902, 45.3694
250.000000, 64.683, 133.2261
315.000000, 65.664, 66.3228
400.000000, 65.798, -41.0938
500.000000, 64.453, -20.5674
630.000000, 60.443, -31.3101
800.000000, 61.623, -37.1982
1000.000000, 61.825, 18.6084
1250.000000, 58.639, 153.7939
1600.000000, 58.584, 169.7754
2000.000000, 53.146, 140.0332
2500.000000, 48.634, -166.5361
3150.000000, 34.619, 179.5410
4000.000000, 56.172, 85.8184
5000.000000, 56.491, 59.9375
6300.000000, 60.735, 63.6895
8000.000000, 48.219, -5.0508
10000.000000, 52.079, -64.2344
12500.000000, 56.789, 18.1719
16000.000000, 53.460, 3.5391
20000.000000, 53.919, 9.8594
