Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 58.637, 167.5416
31.500000, 77.216, -18.9694
40.000000, 51.749, -175.8914
50.000000, 55.720, 119.3416
63.000000, 64.770, 160.9316
80.000000, 51.529, -127.5608
100.000000, 59.483, -22.0747
125.000000, 70.426, -39.6450
160.000000, 63.915, 127.3357
200.000000, 65.471, 44.9189
250.000000, 55.833, 157.6270
315.000000, 60.481, 52.2656
400.000000, 66.415, 65.0933
500.000000, 62.495, -35.5962
630.000000, 59.971, -53.6406
800.000000, 54.279, -100.8203
1000.000000, 62.592, -19.5547
1250.000000, 47.122, -159.9590
1600.000000, 64.005, 175.3086
2000.000000, 56.547, -70.6836
2500.000000, 60.663, 114.6133
3150.000000, 62.946, 126.4863
4000.000000, 46.820, 25.6660
5000.000000, 60.753, 76.7148
6300.000000, 62.417, -22.8105
8000.000000, 59.022, -47.3906
10000.000000, 54.415, 11.5898
12500.000000, 49.734, -69.0078
16000.000000, 56.162, 22.3906
20000.000000, 55.941, 6.0703
