Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 67.471, 162.1339
31.500000, 78.430, -18.8365
40.000000, 65.542, -177.8873
50.000000, 70.236, 68.0637
63.000000, 72.289, 139.7261
80.000000, 72.720, 94.8326
100.000000, 75.846, 96.0709
125.000000, 70.744, -158.8540
160.000000, 73.122, 98.1218
200.000000, 67.642, -18.8525
250.000000, 67.168, -168.5244
315.000000, 70.956, 86.5400
400.000000, 69.487, -52.4590
500.000000, 68.888, 48.5562
630.000000, 69.489, -133.4844
800.000000, 67.752, -1.7485
1000.000000, 67.306, -144.7671
1250.000000, 67.562, -156.1602
1600.000000, 67.451, 96.5742
2000.000000, 67.340, 114.9336
2500.000000, 66.448, 53.3340
3150.000000, 64.322, -170.3936
4000.000000, 63.781, 6.8916
5000.000000, 63.928, -159.9805
6300.000000, 63.051, -125.6172
8000.000000, 61.311, -130.7754
10000.000000, 58.670, 75.0977
12500.000000, 57.986, -6.9219
16000.000000, 60.628, -167.8086
20000.000000, 62.766, 0.9219
