* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:29:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LEFT_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 42.818, -89.8950
20.507812, 44.281, -98.3538
20.874023, 45.402, -104.9982
21.240234, 46.666, -109.1441
21.606445, 48.437, -113.7445
21.972656, 50.445, -122.2606
22.338867, 52.160, -134.8208
22.705078, 53.251, -149.3194
23.071289, 53.609, -162.9156
23.437500, 53.376, -172.0835
23.803711, 53.275, -173.8587
24.169922, 54.415, -172.4688
24.536132, 56.485, -177.3963
24.902343, 58.301, 170.1754
25.268554, 59.287, 153.8665
25.634765, 59.248, 137.4359
26.000976, 58.132, 125.7441
26.367187, 56.629, 127.0667
26.733398, 57.547, 139.6257
27.099609, 60.675, 139.1968
27.465820, 63.235, 125.5816
27.832031, 64.559, 106.6701
28.198242, 64.527, 87.1521
28.564452, 62.896, 72.5530
28.930663, 60.018, 78.6252
29.296874, 62.242, 107.3956
29.663085, 67.656, 104.7289
30.029296, 71.593, 85.6609
30.395507, 74.245, 61.4147
30.761718, 75.950, 35.0610
31.127929, 76.890, 7.6677
31.494140, 77.157, -20.2745
31.860351, 76.781, -48.4437
32.226562, 75.744, -76.5211
32.592772, 73.952, -104.0699
32.958983, 71.200, -130.2830
33.325194, 67.026, -152.9880
33.691405, 60.410, -162.4145
34.057616, 55.643, -117.6715
34.423827, 60.331, -104.4426
34.790038, 62.395, -121.7466
35.156249, 62.282, -144.3279
35.522460, 60.402, -166.8221
35.888671, 56.461, 175.7073
36.254882, 49.951, -176.9742
36.621092, 50.551, -130.8828
36.987303, 54.619, -133.2052
37.353514, 56.027, -150.6804
37.719725, 55.508, -170.0975
38.085936, 53.315, 173.6956
38.452147, 49.605, 169.1721
38.818358, 47.096, -171.1179
39.184569, 49.051, -157.6363
39.550780, 50.859, -164.4891
39.916991, 51.182, -177.4741
40.283201, 50.215, 170.7100
40.649412, 48.413, 165.2936
41.015623, 46.946, 169.2323
41.381834, 46.993, 174.8269
41.748045, 47.669, 173.2235
42.114256, 47.863, 166.9463
42.480467, 47.422, 161.2888
42.846678, 46.821, 159.7064
43.212889, 46.795, 160.8253
43.579100, 47.376, 159.1541
43.945311, 47.845, 152.7625
44.311521, 47.673, 144.2466
44.677732, 46.741, 137.9579
45.043943, 45.523, 139.1307
45.410154, 45.446, 147.8211
45.776365, 46.928, 152.2883
46.142576, 48.442, 148.0457
46.508787, 49.102, 140.1396
46.874998, 48.843, 134.6853
47.241209, 48.437, 137.6562
47.607420, 49.639, 146.0479
47.973631, 52.274, 145.8726
48.339841, 54.633, 135.8210
48.706052, 56.023, 121.3344
49.072263, 56.245, 107.1606
49.438474, 55.248, 99.5574
49.804685, 54.273, 109.5555
50.170896, 57.080, 126.2449
50.537107, 61.511, 122.6469
50.903318, 65.052, 106.7243
51.269529, 67.600, 85.8766
51.635740, 69.331, 62.9961
52.001951, 70.361, 39.4130
52.368161, 70.740, 15.9271
52.734372, 70.476, -6.7991
53.100583, 69.549, -27.9705
53.466794, 67.938, -46.3118
53.833005, 65.703, -59.5443
54.199216, 63.275, -64.3786
54.565427, 61.788, -61.0501
54.931638, 61.730, -58.7208
55.297849, 61.986, -62.2701
55.664060, 61.802, -67.9846
56.030271, 61.290, -71.3845
56.396481, 61.086, -71.4126
56.762692, 61.546, -72.1989
57.128903, 62.139, -77.0897
