freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 2.246, -0.991, 1.993, -1.000, 2.036, -0.999, 1.999, -1.000, -5.000, -32.000, 0.000, Forward, -11.21, -2.17, 7.0, 0.223
63, 1/3, 3.114, -0.989, 3.279, -0.997, 0.000, 0.000, 3.276, -0.998, -5.000, -27.000, 0.000, Forward, -13.09, -3.26, 4.7, 0.271
80, 1/3, 2.969, -0.997, 3.283, -0.999, 0.000, 0.000, 3.270, -1.000, -5.000, -28.000, 0.000, Forward, -8.18, -0.39, 13.2, 0.244
100, 1/3, 3.880, -0.999, 3.807, -1.000, 0.000, 0.000, 3.807, -1.000, -5.000, -25.000, 0.000, Forward, -8.91, -3.25, 11.4, 0.311
125, 1/3, 1.654, -0.986, 2.237, -0.995, 2.294, -0.998, 2.329, -0.999, -5.000, -43.000, 0.000, Forward, -6.09, -2.15, 19.7, 0.167
160, 1/3, 1.427, -0.994, 1.661, -0.998, 1.629, -0.999, 1.633, -0.999, -5.000, -40.000, 0.000, Forward, -1.33, 0.57, 42.4, 0.118
200, 1/3, 0.827, -0.985, 1.209, -0.988, 1.256, -0.995, 1.305, -0.998, -5.000, -48.000, 0.000, Forward, -0.84, 3.83, 45.2, 0.088
250, 1/3, 0.762, -0.980, 0.824, -0.985, 0.830, -0.994, 0.856, -0.998, -5.000, -51.000, 0.000, Forward, 1.68, 4.91, 59.5, 0.072
315, 1/3, 0.274, -0.958, 0.537, -0.987, 0.493, -0.993, 0.498, -0.996, -5.000, -40.000, 0.000, Forward, 11.18, 13.04, 92.9, 0.025
400, 1/3, 0.332, -0.963, 0.409, -0.987, 0.420, -0.994, 0.458, -0.997, -5.000, -59.000, 0.000, Forward, 10.52, 13.45, 91.9, 0.024
500, 1/3, 0.238, -0.935, 0.665, -0.997, 0.567, -0.991, 0.545, -0.998, -8.000, -60.000, 0.000, Forward, 10.68, 12.83, 92.1, 0.022
630, 1/3, 0.253, -0.942, 0.513, -0.995, 0.548, -0.994, 0.501, -0.998, -9.000, -32.000, 0.000, Forward, 10.91, 14.24, 92.5, 0.021
800, 1/3, 0.352, -0.970, 0.533, -0.993, 0.522, -0.997, 0.528, -0.999, -5.000, -57.000, 0.000, Forward, 9.62, 14.09, 90.2, 0.020
1000, 1/3, 0.324, -0.980, 0.647, -0.991, 0.598, -0.996, 0.592, -0.999, -5.000, -60.000, 0.000, Forward, 9.84, 12.65, 90.6, 0.022
1250, 1/3, 0.298, -0.963, 0.726, -0.993, 0.686, -0.997, 0.706, -0.999, -8.000, -49.000, 0.000, Forward, 11.13, 12.37, 92.8, 0.018
1600, 1/3, 0.263, -0.955, 0.770, -0.989, 0.730, -0.995, 0.746, -0.999, -10.000, -60.000, 0.000, Forward, 12.16, 14.30, 94.3, 0.016
2000, 1/3, 0.235, -0.948, 0.687, -0.993, 0.761, -0.996, 0.854, -0.999, -11.000, -57.000, 0.000, Forward, 11.72, 14.65, 93.7, 0.013
2500, 1/3, 0.264, -0.950, 0.656, -0.991, 0.727, -0.996, 0.733, -0.999, -10.000, -32.000, 0.000, Forward, 12.84, 15.02, 95.1, 0.013
3150, 1/3, 0.533, -0.960, 0.780, -0.997, 0.901, -0.996, 0.729, -0.999, -5.000, -21.000, 0.000, Forward, 9.84, 12.17, 90.6, 0.020
4000, 1/3, 0.398, -0.923, 0.824, -0.997, 0.825, -0.999, 0.820, -0.999, -8.000, -34.000, 0.000, Forward, 9.45, 11.29, 89.8, 0.018
5000, 1/3, 0.298, -0.927, 0.853, -0.992, 0.855, -0.998, 0.887, -0.999, -10.000, -39.000, 0.000, Forward, 11.59, 13.46, 93.5, 0.015
6300, 1/3, 0.334, -0.942, 0.738, -0.988, 0.836, -0.994, 0.890, -0.999, -11.000, -37.000, 0.000, Forward, 11.51, 14.85, 93.4, 0.013
8000, 1/3, 0.350, -0.925, 0.644, -0.986, 0.696, -0.995, 0.696, -0.995, -5.000, -35.000, 0.000, Forward, 12.21, 15.92, 94.3, 0.012
10000, 1/3, 0.398, -0.913, 0.435, -0.992, 0.519, -0.992, 0.373, -0.996, -5.000, -20.000, 0.000, Forward, 12.71, 17.95, 94.9, 0.009

