freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 2.222, -0.992, 1.967, -1.000, 1.985, -1.000, 1.972, -1.000, -5.000, -32.000, 0.000, Forward, -10.01, -2.55, 9.1, 0.221
63, 1/3, 3.123, -0.992, 3.257, -0.999, 0.000, 0.000, 3.231, -0.999, -5.000, -27.000, 0.000, Forward, -10.11, -0.87, 8.9, 0.264
80, 1/3, 3.328, -0.997, 3.500, -1.000, 0.000, 0.000, 3.478, -1.000, -5.000, -28.000, 0.000, Forward, -6.10, -0.59, 19.7, 0.259
100, 1/3, 3.824, -0.999, 3.762, -1.000, 0.000, 0.000, 3.762, -1.000, -5.000, -25.000, 0.000, Forward, -9.31, -5.10, 10.5, 0.312
125, 1/3, 2.375, -0.991, 2.278, -0.995, 2.392, -0.998, 2.397, -0.998, -5.000, -40.000, 0.000, Forward, -7.55, -4.35, 14.9, 0.208
160, 1/3, 1.720, -0.997, 1.648, -0.998, 1.653, -0.999, 1.721, -0.999, -5.000, -55.000, 0.000, Forward, -3.37, -0.99, 31.5, 0.141
200, 1/3, 0.921, -0.988, 1.280, -0.994, 1.324, -0.998, 1.340, -0.998, -5.000, -38.000, 0.000, Forward, 1.60, 3.46, 59.1, 0.086
250, 1/3, 0.746, -0.991, 0.578, -0.996, 0.785, -0.986, 0.578, -0.996, -5.000, -25.000, 0.000, Forward, 3.41, 5.61, 68.7, 0.064
315, 1/3, 0.433, -0.967, 0.640, -0.993, 0.597, -0.995, 0.572, -0.998, -5.000, -50.000, 0.000, Forward, 8.19, 10.09, 86.8, 0.033
400, 1/3, 0.440, -0.970, 0.416, -0.964, 0.446, -0.983, 0.469, -0.996, -5.000, -60.000, 0.000, Forward, 7.17, 15.14, 83.9, 0.027
500, 1/3, 0.387, -0.987, 0.471, -0.988, 0.443, -0.995, 0.479, -0.998, -5.000, -54.000, 0.000, Forward, 9.31, 12.77, 89.5, 0.029
630, 1/3, 0.321, -0.934, 0.649, -0.992, 0.602, -0.996, 0.620, -0.997, -5.000, -41.000, 0.000, Forward, 9.59, 13.09, 90.1, 0.024
800, 1/3, 0.598, -0.941, 0.537, -0.997, 0.509, -0.998, 0.505, -0.998, -5.000, -39.000, 0.000, Forward, 6.70, 11.78, 82.4, 0.024
1000, 1/3, 0.286, -0.987, 0.590, -0.996, 0.578, -0.999, 0.608, -0.999, -9.000, -60.000, 0.000, Forward, 9.35, 13.68, 89.6, 0.023
1250, 1/3, 0.312, -0.984, 0.740, -0.985, 0.787, -0.995, 0.779, -0.999, -10.000, -60.000, 0.000, Forward, 10.33, 14.04, 91.5, 0.020
1600, 1/3, 0.197, -0.939, 0.744, -0.993, 0.758, -0.997, 0.816, -0.999, -10.000, -45.000, 0.000, Forward, 11.96, 14.92, 94.0, 0.014
2000, 1/3, 0.253, -0.953, 0.595, -0.986, 0.772, -0.985, 0.988, -0.996, -12.000, -60.000, 0.000, Forward, 11.15, 14.56, 92.9, 0.015
2500, 1/3, 0.319, -0.916, 0.676, -0.996, 0.774, -0.995, 0.829, -0.998, -11.000, -42.000, 0.000, Forward, 11.81, 13.78, 93.8, 0.014
3150, 1/3, 0.195, -0.942, 0.731, -0.994, 0.858, -0.994, 0.791, -0.995, -11.000, -30.000, 0.000, Forward, 12.24, 13.84, 94.4, 0.013
4000, 1/3, 0.249, -0.938, 0.751, -0.997, 0.896, -0.995, 0.767, -0.999, -11.000, -24.000, 0.000, Forward, 11.31, 13.86, 93.1, 0.014
5000, 1/3, 0.311, -0.954, 0.793, -0.986, 0.806, -0.996, 0.841, -0.997, -10.000, -37.000, 0.000, Forward, 11.36, 13.90, 93.2, 0.014
6300, 1/3, 0.304, -0.944, 0.703, -0.990, 0.755, -0.997, 0.808, -0.999, -11.000, -41.000, 0.000, Forward, 11.51, 15.23, 93.4, 0.013
8000, 1/3, 0.339, -0.935, 0.587, -0.985, 0.662, -0.994, 0.730, -0.995, -5.000, -45.000, 0.000, Forward, 12.66, 16.50, 94.9, 0.012
10000, 1/3, 0.339, -0.931, 0.449, -0.991, 0.526, -0.993, 0.560, -0.995, -5.000, -43.000, 0.000, Forward, 13.19, 17.67, 95.4, 0.010

