* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:35:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SUMA_SBWOOFER_SCIANA
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 48.592, -90.8520
20.507812, 50.222, -99.5419
20.874023, 51.429, -106.8808
21.240234, 52.636, -111.5680
21.606445, 54.288, -115.7269
21.972656, 56.268, -123.1183
22.338867, 58.054, -134.7154
22.705078, 59.260, -148.8142
23.071289, 59.726, -162.7537
23.437500, 59.523, -173.1484
23.803711, 59.226, -176.3997
24.169922, 60.034, -174.5166
24.536132, 62.049, -177.4972
24.902343, 64.039, 171.4131
25.268554, 65.266, 155.6353
25.634765, 65.483, 138.9960
26.000976, 64.600, 125.8776
26.367187, 63.022, 123.8032
26.733398, 63.202, 135.8607
27.099609, 66.134, 139.0999
27.465820, 68.907, 127.4453
27.832031, 70.503, 109.1929
28.198242, 70.777, 89.5559
28.564452, 69.516, 73.4864
28.930663, 66.709, 73.6476
29.296874, 67.460, 102.7873
29.663085, 72.895, 106.2237
30.029296, 77.102, 89.0691
30.395507, 79.952, 65.4662
30.761718, 81.817, 39.3379
31.127929, 82.905, 12.0280
31.494140, 83.316, -15.8511
31.860351, 83.087, -43.9329
32.226562, 82.197, -71.9180
32.592772, 80.568, -99.4497
32.958983, 78.019, -125.8940
33.325194, 74.159, -149.5985
33.691405, 68.073, -163.7621
34.057616, 61.196, -129.6763
34.423827, 65.603, -102.0544
34.790038, 68.251, -116.6941
35.156249, 68.501, -138.4583
35.522460, 66.935, -160.5202
35.888671, 63.411, -178.0800
36.254882, 57.556, -175.3206
36.621092, 56.801, -133.3899
36.987303, 60.766, -130.9934
37.353514, 62.383, -147.0148
37.719725, 62.091, -166.0157
38.085936, 60.164, 177.4797
38.452147, 56.728, 170.9765
38.818358, 53.853, -172.8953
39.184569, 55.324, -156.7939
39.550780, 57.232, -161.4056
39.916991, 57.738, -173.5938
40.283201, 56.965, 174.4874
40.649412, 55.333, 167.9329
41.015623, 53.844, 169.9023
41.381834, 53.664, 174.8111
41.748045, 54.239, 173.9267
42.114256, 54.480, 168.3544
42.480467, 54.138, 162.9388
42.846678, 53.604, 161.0038
43.212889, 53.525, 161.5100
43.579100, 53.959, 159.6573
43.945311, 54.286, 153.5696
44.311521, 54.021, 145.7456
44.677732, 53.122, 140.7388
45.043943, 52.270, 143.2861
45.410154, 52.832, 150.3619
45.776365, 54.575, 150.7581
46.142576, 56.036, 143.0400
46.508787, 56.521, 131.8638
46.874998, 55.842, 122.3106
47.241209, 54.296, 121.8182
47.607420, 54.073, 135.8401
47.973631, 56.826, 144.0147
48.339841, 59.754, 136.7410
48.706052, 61.572, 122.6441
49.072263, 62.105, 108.0373
49.438474, 61.322, 99.1479
49.804685, 60.210, 106.8783
50.170896, 62.603, 124.8340
50.537107, 67.075, 123.1912
50.903318, 70.740, 107.9572
51.269529, 73.403, 87.2997
51.635740, 75.243, 64.4590
52.001951, 76.380, 40.9035
52.368161, 76.862, 17.4742
52.734372, 76.695, -5.1873
53.100583, 75.855, -26.3488
53.466794, 74.317, -44.8273
53.833005, 72.126, -58.4378
54.199216, 69.670, -63.7884
54.565427, 68.088, -60.3965
54.931638, 68.034, -57.4023
55.297849, 68.395, -60.7672
55.664060, 68.299, -66.9801
56.030271, 67.764, -71.2036
56.396481, 67.404, -71.3641
56.762692, 67.766, -70.9457
57.128903, 68.460, -74.4493
57.495114, 68.764, -80.9802
57.861325, 68.430, -85.9767
58.227536, 68.035, -84.2080
58.593747, 69.040, -77.9268
58.959958, 71.432, -79.2117
59.326169, 73.758, -90.6008
59.692380, 75.367, -108.0944
60.058591, 76.139, -128.6550
60.424801, 76.036, -150.4426
60.791012, 74.952, -171.9342
61.157223, 72.636, 169.2490
61.523434, 68.678, 160.1228
61.889645, 64.981, -177.8152
62.255856, 68.194, -156.0408
62.622067, 71.650, -165.6575
62.988278, 73.468, 174.9435
63.354489, 74.043, 152.9526
63.720700, 73.605, 131.0444
64.086910, 72.257, 111.2683
64.453121, 70.123, 96.4525
64.819332, 67.739, 90.4507
65.185543, 66.408, 92.5393
65.551754, 66.447, 92.3527
65.917965, 66.475, 86.9780
66.284176, 65.890, 83.8939
66.650387, 65.934, 90.3594
67.016598, 68.429, 95.4353
67.382809, 71.805, 86.2126
67.749020, 74.621, 67.1729
68.115230, 76.693, 43.4452
68.481441, 78.090, 17.6974
68.847652, 78.853, -8.6465
69.213863, 78.968, -34.7573
69.580074, 78.374, -60.0410
69.946285, 76.963, -83.7526
70.312496, 74.559, -104.2583
70.678707, 70.959, -116.8685
71.044918, 67.078, -109.1743
71.411129, 67.456, -88.9836
71.777340, 69.848, -90.7200
72.143550, 70.997, -104.0100
72.509761, 70.692, -118.5507
72.875972, 69.094, -126.7982
73.242183, 67.535, -118.5471
73.608394, 69.384, -104.1376
73.974605, 72.760, -107.7706
74.340816, 75.302, -123.0537
74.707027, 76.824, -143.2078
75.073238, 77.460, -165.6421
75.439449, 77.312, 170.6582
75.805660, 76.427, 146.1893
76.171870, 74.795, 121.3657
76.538081, 72.312, 96.7815
76.904292, 68.675, 73.5498
77.270503, 63.061, 54.8145
77.636714, 53.120, 62.8870
78.002925, 54.223, 136.1174
78.369136, 58.038, 129.6960
78.735347, 57.677, 109.9630
79.101558, 53.784, 84.6832
