Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 61.535, 162.3077
31.500000, 72.433, -19.7886
40.000000, 59.453, -179.3454
50.000000, 64.038, 69.0290
63.000000, 66.756, 134.0745
80.000000, 66.530, -102.3894
100.000000, 68.515, 16.8164
125.000000, 65.192, -55.8784
160.000000, 67.151, 88.4236
200.000000, 62.518, -43.7781
250.000000, 62.592, 150.9004
315.000000, 64.635, 142.0732
400.000000, 64.188, -49.3643
500.000000, 63.078, -31.7715
630.000000, 63.438, 60.3574
800.000000, 61.623, -6.7773
1000.000000, 60.702, -107.5244
1250.000000, 59.556, -140.5322
1600.000000, 58.311, 103.1777
2000.000000, 55.414, 44.1641
2500.000000, 50.579, -81.3027
3150.000000, 46.148, -135.3555
4000.000000, 56.183, 142.4102
5000.000000, 59.470, 38.2949
6300.000000, 59.979, 121.8594
8000.000000, 56.661, -172.4551
10000.000000, 56.022, -113.8867
12500.000000, 57.286, 125.3008
16000.000000, 54.756, 4.3555
20000.000000, 54.731, 8.5703
