Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 56.337, -119.0171
20.507812, 56.297, -118.8439
20.874023, 56.893, -121.6451
21.240234, 57.663, -125.6754
21.606445, 58.536, -130.7460
21.972656, 59.462, -136.6573
22.338867, 60.413, -143.2115
22.705078, 61.375, -150.2262
23.071289, 62.344, -157.5472
23.437500, 63.317, -165.0566
23.803711, 64.292, -172.6750
24.169922, 65.267, 179.6453
24.536132, 66.242, 171.9311
24.902343, 67.213, 164.1979
25.268554, 68.178, 156.4535
25.634765, 69.133, 148.6942
26.000976, 70.073, 140.8988
26.367187, 70.993, 133.0240
26.733398, 71.888, 125.0072
27.099609, 72.750, 116.7730
27.465820, 73.573, 108.2419
27.832031, 74.353, 99.3355
28.198242, 75.081, 89.9790
28.564452, 75.753, 80.1019
28.930663, 76.362, 69.6418
29.296874, 76.903, 58.5543
29.663085, 77.369, 46.8263
30.029296, 77.755, 34.4885
30.395507, 78.056, 21.6232
30.761718, 78.270, 8.3630
31.127929, 78.395, -5.1185
31.494140, 78.431, -18.6219
31.860351, 78.379, -31.9397
32.226562, 78.243, -44.8742
32.592772, 78.028, -57.2532
32.958983, 77.740, -68.9420
33.325194, 77.384, -79.8500
33.691405, 76.967, -89.9316
34.057616, 76.496, -99.1815
34.423827, 75.978, -107.6257
34.790038, 75.418, -115.3121
35.156249, 74.822, -122.3007
35.522460, 74.195, -128.6572
35.888671, 73.541, -134.4500
36.254882, 72.864, -139.7465
36.621092, 72.169, -144.6123
36.987303, 71.458, -149.1085
37.353514, 70.736, -153.2906
37.719725, 70.005, -157.2076
38.085936, 69.270, -160.9020
38.452147, 68.534, -164.4113
38.818358, 67.802, -167.7684
39.184569, 67.080, -171.0025
39.550780, 66.374, -174.1393
39.916991, 65.692, -177.2013
40.283201, 65.046, 179.7922
40.649412, 64.447, 176.8240
41.015623, 63.911, 173.8788
41.381834, 63.454, 170.9424
41.748045, 63.091, 168.0015
42.114256, 62.836, 165.0427
42.480467, 62.698, 162.0531
42.846678, 62.681, 159.0195
43.212889, 62.778, 155.9286
43.579100, 62.980, 152.7664
43.945311, 63.269, 149.5178
44.311521, 63.630, 146.1673
44.677732, 64.043, 142.6981
45.043943, 64.494, 139.0922
