Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 56.362, -119.2571
20.507812, 56.322, -119.0845
20.874023, 56.920, -121.8748
21.240234, 57.693, -125.8905
21.606445, 58.568, -130.9455
21.972656, 59.495, -136.8427
22.338867, 60.447, -143.3862
22.705078, 61.409, -150.3946
23.071289, 62.377, -157.7123
23.437500, 63.349, -165.2193
23.803711, 64.324, -172.8337
24.169922, 65.299, 179.4937
24.536132, 66.274, 171.7899
24.902343, 67.246, 164.0699
25.268554, 68.211, 156.3415
25.634765, 69.167, 148.6019
26.000976, 70.109, 140.8322
26.367187, 71.032, 132.9921
26.733398, 71.929, 125.0215
27.099609, 72.795, 116.8463
27.465820, 73.623, 108.3871
27.832031, 74.408, 99.5655
28.198242, 75.143, 90.3060
28.564452, 75.822, 80.5374
28.930663, 76.439, 70.1956
29.296874, 76.989, 59.2332
29.663085, 77.465, 47.6313
30.029296, 77.863, 35.4136
30.395507, 78.176, 22.6541
30.761718, 78.403, 9.4779
31.127929, 78.541, -3.9474
31.494140, 78.590, -17.4258
31.860351, 78.552, -30.7504
32.226562, 78.430, -43.7215
32.592772, 78.228, -56.1630
32.958983, 77.951, -67.9340
33.325194, 77.606, -78.9371
33.691405, 77.200, -89.1201
34.057616, 76.738, -98.4713
34.423827, 76.228, -107.0126
34.790038, 75.676, -114.7884
35.156249, 75.087, -121.8573
35.522460, 74.465, -128.2844
35.888671, 73.817, -134.1379
36.254882, 73.145, -139.4857
36.621092, 72.453, -144.3939
36.987303, 71.746, -148.9247
37.353514, 71.026, -153.1345
37.719725, 70.297, -157.0734
38.085936, 69.563, -160.7849
38.452147, 68.826, -164.3074
38.818358, 68.092, -167.6744
39.184569, 67.366, -170.9160
39.550780, 66.653, -174.0585
39.916991, 65.962, -177.1248
40.283201, 65.302, 179.8649
40.649412, 64.685, 176.8932
41.015623, 64.125, 173.9445
41.381834, 63.638, 171.0047
41.748045, 63.240, 168.0601
42.114256, 62.945, 165.0978
42.480467, 62.765, 162.1047
42.846678, 62.705, 159.0682
43.212889, 62.762, 155.9749
43.579100, 62.927, 152.8111
43.945311, 63.186, 149.5624
44.311521, 63.523, 146.2133
44.677732, 63.918, 142.7476
45.043943, 64.356, 139.1475
45.410154, 64.822, 135.3948
45.776365, 65.305, 131.4706
46.142576, 65.795, 127.3554
46.508787, 66.284, 123.0302
46.874998, 66.767, 118.4763
47.241209, 67.238, 113.6762
47.607420, 67.694, 108.6143
47.973631, 68.132, 103.2771
48.339841, 68.549, 97.6544
48.706052, 68.945, 91.7402
49.072263, 69.316, 85.5327
49.438474, 69.661, 79.0349
49.804685, 69.981, 72.2556
50.170896, 70.273, 65.2090
50.537107, 70.537, 57.9146
50.903318, 70.774, 50.3973
51.269529, 70.982, 42.6868
51.635740, 71.164, 34.8155
52.001951, 71.319, 26.8186
52.368161, 71.449, 18.7314
52.734372, 71.557, 10.5879
53.100583, 71.644, 2.4196
53.466794, 71.713, -5.7465
53.833005, 71.767, -13.8885
54.199216, 71.809, -21.9901
54.565427, 71.842, -30.0413
54.931638, 71.869, -38.0379
55.297849, 71.892, -45.9810
55.664060, 71.914, -53.8763
56.030271, 71.935, -61.7336
56.396481, 71.959, -69.5656
56.762692, 71.986, -77.3864
57.128903, 72.016, -85.2118
57.495114, 72.049, -93.0577
57.861325, 72.086, -100.9395
58.227536, 72.127, -108.8716
58.593747, 72.170, -116.8671
58.959958, 72.215, -124.9371
59.326169, 72.261, -133.0912
59.692380, 72.309, -141.3372
60.058591, 72.357, -149.6810
60.424801, 72.405, -158.1274
60.791012, 72.453, -166.6804
61.157223, 72.502, -175.3428
61.523434, 72.551, 175.8828
61.889645, 72.600, 166.9941
62.255856, 72.651, 157.9888
62.622067, 72.702, 148.8650
62.988278, 72.755, 139.6201
63.354489, 72.809, 130.2526
63.720700, 72.864, 120.7599
64.086910, 72.920, 111.1396
64.453121, 72.978, 101.3901
64.819332, 73.036, 91.5083
65.185543, 73.094, 81.4922
65.551754, 73.151, 71.3389
65.917965, 73.207, 61.0465
66.284176, 73.261, 50.6129
66.650387, 73.312, 40.0365
67.016598, 73.359, 29.3162
67.382809, 73.402, 18.4515
67.749020, 73.439, 7.4418
68.115230, 73.469, -3.7125
68.481441, 73.493, -15.0112
68.847652, 73.510, -26.4542
69.213863, 73.519, -38.0419
69.580074, 73.521, -49.7751
69.946285, 73.515, -61.6559
70.312496, 73.502, -73.6869
70.678707, 73.482, -85.8723
71.044918, 73.456, -98.2169
71.411129, 73.423, -110.7268
71.777340, 73.384, -123.4086
72.143550, 73.340, -136.2692
72.509761, 73.292, -149.3159
72.875972, 73.239, -162.5554
73.242183, 73.182, -175.9939
73.608394, 73.121, 170.3634
73.974605, 73.058, 156.5127
74.340816, 72.992, 142.4518
74.707027, 72.925, 128.1804
75.073238, 72.857, 113.7000
