Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 56.312, -119.1123
20.507812, 56.272, -118.9390
20.874023, 56.866, -121.7429
21.240234, 57.635, -125.7750
21.606445, 58.505, -130.8452
21.972656, 59.428, -136.7543
22.338867, 60.376, -143.3062
22.705078, 61.335, -150.3197
23.071289, 62.299, -157.6391
23.437500, 63.267, -165.1433
23.803711, 64.237, -172.7491
24.169922, 65.209, 179.5935
24.536132, 66.181, 171.9112
24.902343, 67.150, 164.2178
25.268554, 68.113, 156.5199
25.634765, 69.068, 148.8143
26.000976, 70.009, 141.0829
26.367187, 70.932, 133.2870
26.733398, 71.831, 125.3670
27.099609, 72.699, 117.2491
27.465820, 73.530, 108.8524
27.832031, 74.319, 100.0963
28.198242, 75.059, 90.9029
28.564452, 75.744, 81.1982
28.930663, 76.369, 70.9151
29.296874, 76.927, 60.0012
29.663085, 77.412, 48.4313
30.029296, 77.819, 36.2211
30.395507, 78.144, 23.4359
30.761718, 78.382, 10.1924
31.127929, 78.531, -3.3481
31.494140, 78.593, -16.9938
31.860351, 78.566, -30.5383
32.226562, 78.456, -43.7792
32.592772, 78.264, -56.5331
32.958983, 77.998, -68.6490
33.325194, 77.663, -80.0160
33.691405, 77.265, -90.5658
34.057616, 76.812, -100.2707
34.423827, 76.308, -109.1367
34.790038, 75.761, -117.1951
35.156249, 75.176, -124.4939
35.522460, 74.558, -131.0923
35.888671, 73.911, -137.0557
36.254882, 73.239, -142.4534
36.621092, 72.547, -147.3555
36.987303, 71.836, -151.8300
37.353514, 71.112, -155.9398
37.719725, 70.376, -159.7411
38.085936, 69.632, -163.2827
38.452147, 68.885, -166.6067
38.818358, 68.137, -169.7498
39.184569, 67.393, -172.7442
39.550780, 66.661, -175.6181
39.916991, 65.946, -178.3958
40.283201, 65.260, 178.9017
40.649412, 64.615, 176.2561
41.015623, 64.024, 173.6509
41.381834, 63.506, 171.0710
41.748045, 63.078, 168.5015
42.114256, 62.758, 165.9281
42.480467, 62.559, 163.3358
42.846678, 62.487, 160.7092
43.212889, 62.542, 158.0316
43.579100, 62.714, 155.2846
43.945311, 62.986, 152.4480
44.311521, 63.339, 149.4991
44.677732, 63.754, 146.4131
45.043943, 64.213, 143.1628
45.410154, 64.700, 139.7198
45.776365, 65.203, 136.0555
46.142576, 65.711, 132.1420
46.508787, 66.216, 127.9539
46.874998, 66.713, 123.4688
47.241209, 67.198, 118.6689
47.607420, 67.666, 113.5410
47.973631, 68.114, 108.0766
48.339841, 68.542, 102.2720
48.706052, 68.945, 96.1288
49.072263, 69.324, 89.6531
49.438474, 69.678, 82.8553
49.804685, 70.004, 75.7507
50.170896, 70.302, 68.3587
50.537107, 70.572, 60.7030
50.903318, 70.813, 52.8113
51.269529, 71.026, 44.7144
51.635740, 71.210, 36.4451
52.001951, 71.368, 28.0375
52.368161, 71.499, 19.5250
52.734372, 71.607, 10.9384
53.100583, 71.691, 2.3052
53.466794, 71.756, -6.3525
53.833005, 71.803, -15.0187
54.199216, 71.836, -23.6841
54.565427, 71.855, -32.3465
54.931638, 71.865, -41.0106
55.297849, 71.867, -49.6873
55.664060, 71.863, -58.3937
56.030271, 71.854, -67.1514
56.396481, 71.842, -75.9865
56.762692, 71.826, -84.9276
57.128903, 71.808, -94.0057
57.495114, 71.786, -103.2535
57.861325, 71.760, -112.7036
58.227536, 71.730, -122.3886
58.593747, 71.693, -132.3408
58.959958, 71.649, -142.5913
59.326169, 71.596, -153.1692
59.692380, 71.534, -164.1031
60.058591, 71.461, -175.4192
60.424801, 71.375, 172.8574
60.791012, 71.277, 160.7034
61.157223, 71.166, 148.0967
61.523434, 71.040, 135.0172
61.889645, 70.901, 121.4463
62.255856, 70.748, 107.3674
62.622067, 70.581, 92.7670
62.988278, 70.400, 77.6340
63.354489, 70.206, 61.9615
63.720700, 70.000, 45.7467
64.086910, 69.781, 28.9912
64.453121, 69.551, 11.7026
64.819332, 69.310, -6.1066
65.185543, 69.058, -24.4174
65.551754, 68.798, -43.2045
65.917965, 68.529, -62.4368
66.284176, 68.253, -82.0765
66.650387, 67.971, -102.0806
67.016598, 67.684, -122.4000
67.382809, 67.393, -142.9818
67.749020, 67.101, -163.7709
68.115230, 66.809, 175.2911
68.481441, 66.518, 154.2626
68.847652, 66.230, 133.2009
69.213863, 65.949, 112.1615
69.580074, 65.675, 91.1963
69.946285, 65.411, 70.3538
70.312496, 65.160, 49.6771
70.678707, 64.925, 29.2045
71.044918, 64.708, 8.9697
71.411129, 64.512, -10.9993
71.777340, 64.339, -30.6787
72.143550, 64.193, -50.0485
72.509761, 64.075, -69.0923
72.875972, 63.987, -87.7965
73.242183, 63.931, -106.1490
73.608394, 63.907, -124.1393
73.974605, 63.917, -141.7570
74.340816, 63.959, -158.9924
74.707027, 64.033, -175.8350
75.073238, 64.139, 167.7260
75.439449, 64.273, 151.7013
75.805660, 64.435, 136.1033
76.171870, 64.622, 120.9438
76.538081, 64.831, 106.2347
76.904292, 65.061, 91.9875
77.270503, 65.309, 78.2130
77.636714, 65.572, 64.9202
78.002925, 65.849, 52.1166
78.369136, 66.136, 39.8073
78.735347, 66.432, 27.9946
79.101558, 66.735, 16.6790
79.467769, 67.043, 5.8566
79.833980, 67.355, -4.4786
80.200190, 67.669, -14.3357
80.566401, 67.985, -23.7271
80.932612, 68.300, -32.6677
81.298823, 68.615, -41.1753
81.665034, 68.927, -49.2698
82.031245, 69.237, -56.9733
82.397456, 69.543, -64.3099
82.763667, 69.846, -71.3057
83.129878, 70.144, -77.9866
83.496089, 70.436, -84.3804
83.862300, 70.724, -90.5151
84.228510, 71.005, -96.4189
84.594721, 71.280, -102.1187
84.960932, 71.548, -107.6421
85.327143, 71.809, -113.0156
85.693354, 72.062, -118.2637
86.059565, 72.308, -123.4109
86.425776, 72.546, -128.4797
86.791987, 72.775, -133.4917
87.158198, 72.996, -138.4663
87.524409, 73.208, -143.4224
87.890619, 73.410, -148.3770
88.256830, 73.603, -153.3457
88.623041, 73.787, -158.3428
88.989252, 73.960, -163.3813
89.355463, 74.123, -168.4727
89.721674, 74.275, -173.6267
90.087885, 74.417, -178.8528
90.454096, 74.548, 175.8418
90.820307, 74.667, 170.4504
91.186518, 74.775, 164.9683
91.552729, 74.871, 159.3916
91.918939, 74.955, 153.7175
92.285150, 75.027, 147.9448
92.651361, 75.087, 142.0723
93.017572, 75.134, 136.1013
93.383783, 75.170, 130.0327
93.749994, 75.193, 123.8689
94.116205, 75.204, 117.6128
