Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 72.140, 31.9752
20.507812, 72.101, 31.9730
20.874023, 72.686, 32.0126
21.240234, 73.448, 32.0791
21.606445, 74.317, 32.1851
21.972656, 75.246, 32.3471
22.338867, 76.207, 32.5812
22.705078, 77.184, 32.8980
23.071289, 78.170, 33.3023
23.437500, 79.161, 33.7961
23.803711, 80.156, 34.3822
24.169922, 81.155, 35.0644
24.536132, 82.156, 35.8431
24.902343, 83.158, 36.7091
25.268554, 84.155, 37.6403
25.634765, 85.143, 38.6029
26.000976, 86.118, 39.5551
26.367187, 87.073, 40.4484
26.733398, 88.003, 41.2262
27.099609, 88.902, 41.8206
27.465820, 89.763, 42.1522
27.832031, 90.582, 42.1331
28.198242, 91.351, 41.6741
28.564452, 92.064, 40.6919
28.930663, 92.717, 39.1156
29.296874, 93.303, 36.8922
29.663085, 93.816, 33.9952
30.029296, 94.250, 30.4339
30.395507, 94.601, 26.2630
30.761718, 94.864, 21.5867
31.127929, 95.037, 16.5560
31.494140, 95.119, 11.3576
31.860351, 95.110, 6.1982
32.226562, 95.014, 1.2858
32.592772, 94.835, -3.1870
32.958983, 94.579, -7.0564
33.325194, 94.253, -10.1954
33.691405, 93.862, -12.5160
34.057616, 93.415, -13.9671
34.423827, 92.918, -14.5288
34.790038, 92.376, -14.2070
35.156249, 91.795, -13.0292
35.522460, 91.180, -11.0413
35.888671, 90.535, -8.3043
36.254882, 89.864, -4.8909
36.621092, 89.170, -0.8801
36.987303, 88.457, 3.6477
37.353514, 87.727, 8.6153
37.719725, 86.983, 13.9512
38.085936, 86.227, 19.5914
38.452147, 85.462, 25.4797
38.818358, 84.690, 31.5680
39.184569, 83.914, 37.8161
39.550780, 83.135, 44.1906
39.916991, 82.357, 50.6639
40.283201, 81.584, 57.2124
40.649412, 80.819, 63.8163
41.015623, 80.067, 70.4583
41.381834, 79.336, 77.1233
41.748045, 78.634, 83.7973
42.114256, 77.970, 90.4669
42.480467, 77.358, 97.1188
42.846678, 76.812, 103.7387
43.212889, 76.346, 110.3111
43.579100, 75.976, 116.8187
43.945311, 75.712, 123.2416
44.311521, 75.561, 129.5573
44.677732, 75.523, 135.7402
45.043943, 75.591, 141.7616
45.410154, 75.753, 147.5908
45.776365, 75.994, 153.1954
46.142576, 76.296, 158.5428
46.508787, 76.642, 163.6021
46.874998, 77.020, 168.3453
47.241209, 77.415, 172.7488
47.607420, 77.818, 176.7946
47.973631, 78.221, -179.5296
48.339841, 78.618, -176.2302
48.706052, 79.003, -173.3077
49.072263, 79.373, -170.7572
49.438474, 79.726, -168.5685
49.804685, 80.058, -166.7261
50.170896, 80.368, -165.2099
50.537107, 80.656, -163.9952
50.903318, 80.920, -163.0531
51.269529, 81.161, -162.3517
51.635740, 81.380, -161.8564
52.001951, 81.577, -161.5316
52.368161, 81.753, -161.3421
52.734372, 81.911, -161.2548
53.100583, 82.054, -161.2399
53.466794, 82.183, -161.2726
53.833005, 82.303, -161.3341
54.199216, 82.415, -161.4124
54.565427, 82.524, -161.5022
54.931638, 82.631, -161.6056
55.297849, 82.740, -161.7306
55.664060, 82.852, -161.8914
56.030271, 82.969, -162.1067
56.396481, 83.091, -162.3992
56.762692, 83.221, -162.7946
57.128903, 83.357, -163.3201
57.495114, 83.499, -164.0037
57.861325, 83.648, -164.8733
58.227536, 83.802, -165.9556
58.593747, 83.961, -167.2757
58.959958, 84.124, -168.8561
59.326169, 84.290, -170.7167
59.692380, 84.460, -172.8739
60.058591, 84.631, -175.3407
60.424801, 84.805, -178.1265
60.791012, 84.981, 178.7631
61.157223, 85.159, 175.3263
61.523434, 85.338, 171.5652
61.889645, 85.520, 167.4863
62.255856, 85.703, 163.1000
62.622067, 85.887, 158.4214
62.988278, 86.072, 153.4699
63.354489, 86.258, 148.2695
63.720700, 86.444, 142.8485
64.086910, 86.629, 137.2385
64.453121, 86.813, 131.4744
64.819332, 86.994, 125.5931
65.185543, 87.171, 119.6327
65.551754, 87.344, 113.6310
65.917965, 87.511, 107.6254
66.284176, 87.671, 101.6512
66.650387, 87.823, 95.7414
67.016598, 87.965, 89.9261
67.382809, 88.099, 84.2321
67.749020, 88.221, 78.6826
68.115230, 88.332, 73.2979
68.481441, 88.431, 68.0947
68.847652, 88.519, 63.0866
69.213863, 88.594, 58.2839
69.580074, 88.657, 53.6942
69.946285, 88.708, 49.3221
70.312496, 88.747, 45.1696
70.678707, 88.775, 41.2364
71.044918, 88.792, 37.5204
71.411129, 88.799, 34.0174
71.777340, 88.795, 30.7224
72.143550, 88.781, 27.6292
72.509761, 88.757, 24.7310
72.875972, 88.723, 22.0211
73.242183, 88.680, 19.4928
73.608394, 88.628, 17.1398
73.974605, 88.566, 14.9565
74.340816, 88.495, 12.9377
74.707027, 88.414, 11.0794
75.073238, 88.324, 9.3779
75.439449, 88.224, 7.8303
75.805660, 88.115, 6.4345
76.171870, 87.996, 5.1885
76.538081, 87.868, 4.0906
76.904292, 87.731, 3.1389
77.270503, 87.586, 2.3318
77.636714, 87.433, 1.6672
78.002925, 87.272, 1.1426
78.369136, 87.104, 0.7552
78.735347, 86.930, 0.5017
79.101558, 86.750, 0.3785
79.467769, 86.566, 0.3815
79.833980, 86.377, 0.5062
80.200190, 86.186, 0.7480
80.566401, 85.992, 1.1017
80.932612, 85.796, 1.5623
81.298823, 85.601, 2.1245
81.665034, 85.405, 2.7829
82.031245, 85.211, 3.5323
82.397456, 85.019, 4.3675
82.763667, 84.830, 5.2835
83.129878, 84.644, 6.2758
83.496089, 84.463, 7.3403
83.862300, 84.287, 8.4733
84.228510, 84.116, 9.6719
84.594721, 83.951, 10.9341
84.960932, 83.792, 12.2583
85.327143, 83.639, 13.6442
85.693354, 83.493, 15.0921
86.059565, 83.353, 16.6032
86.425776, 83.219, 18.1796
86.791987, 83.091, 19.8240
87.158198, 82.968, 21.5399
87.524409, 82.850, 23.3316
87.890619, 82.737, 25.2036
88.256830, 82.627, 27.1612
88.623041, 82.520, 29.2099
88.989252, 82.416, 31.3555
89.355463, 82.313, 33.6042
89.721674, 82.212, 35.9622
90.087885, 82.110, 38.4357
90.454096, 82.009, 41.0310
90.820307, 81.906, 43.7541
91.186518, 81.801, 46.6111
91.552729, 81.695, 49.6075
91.918939, 81.586, 52.7485
92.285150, 81.473, 56.0390
92.651361, 81.358, 59.4832
93.017572, 81.239, 63.0849
93.383783, 81.115, 66.8471
93.749994, 80.988, 70.7723
