Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 67.003, 38.0179
20.507812, 67.180, 38.0016
20.874023, 68.179, 37.8753
21.240234, 69.292, 37.6094
21.606445, 70.378, 37.2424
21.972656, 71.400, 36.9396
22.338867, 72.369, 36.8682
22.705078, 73.296, 37.0533
23.071289, 74.173, 37.3578
23.437500, 74.982, 37.6164
23.803711, 75.713, 37.8051
24.169922, 76.380, 38.0876
24.536132, 77.020, 38.6885
24.902343, 77.675, 39.7048
25.268554, 78.363, 41.0294
25.634765, 79.080, 42.4587
26.000976, 79.819, 43.8832
26.367187, 80.598, 45.3786
26.733398, 81.459, 47.1124
27.099609, 82.443, 49.1554
27.465820, 83.563, 51.3779
27.832031, 84.801, 53.5198
28.198242, 86.126, 55.3491
28.564452, 87.501, 56.7328
28.930663, 88.887, 57.5383
29.296874, 90.235, 57.4615
29.663085, 91.487, 55.9637
30.029296, 92.591, 52.4127
30.395507, 93.502, 46.3470
30.761718, 94.190, 37.6893
31.127929, 94.638, 26.7959
31.494140, 94.838, 14.3490
31.860351, 94.791, 1.1679
32.226562, 94.506, -11.9960
32.592772, 93.999, -24.6484
32.958983, 93.292, -36.7018
33.325194, 92.413, -48.5504
33.691405, 91.397, -61.0216
34.057616, 90.277, -75.1896
34.423827, 89.087, -92.0965
34.790038, 87.850, -112.4689
35.156249, 86.578, -136.5118
35.522460, 85.272, -163.8066
35.888671, 83.929, 166.6822
36.254882, 82.543, 136.4887
36.621092, 81.113, 107.4114
36.987303, 79.642, 81.1914
37.353514, 78.136, 59.1768
37.719725, 76.601, 42.0609
38.085936, 75.049, 29.7670
38.452147, 73.489, 21.5096
38.818358, 71.933, 16.0022
39.184569, 70.390, 11.7124
39.550780, 68.870, 7.0648
39.916991, 67.385, 0.5602
40.283201, 65.955, -9.1274
40.649412, 64.616, -23.0235
41.015623, 63.430, -41.7067
41.381834, 62.497, -65.2119
41.748045, 61.938, -93.0257
42.114256, 61.846, -124.1729
42.480467, 62.225, -157.3638
42.846678, 62.977, 168.8286
43.212889, 63.964, 135.7816
43.579100, 65.066, 104.6501
43.945311, 66.201, 76.2358
44.311521, 67.318, 50.9244
44.677732, 68.389, 28.7092
45.043943, 69.400, 9.2844
45.410154, 70.343, -7.8167
45.776365, 71.221, -23.0812
46.142576, 72.039, -36.9113
46.508787, 72.811, -49.5699
46.874998, 73.554, -61.1804
47.241209, 74.286, -71.7618
47.607420, 75.024, -81.2830
47.973631, 75.780, -89.7147
48.339841, 76.557, -97.0695
48.706052, 77.351, -103.4225
49.072263, 78.150, -108.9120
49.438474, 78.938, -113.7246
49.804685, 79.696, -118.0719
50.170896, 80.409, -122.1634
50.537107, 81.061, -126.1802
50.903318, 81.639, -130.2515
51.269529, 82.133, -134.4366
51.635740, 82.536, -138.7170
52.001951, 82.843, -143.0015
52.368161, 83.055, -147.1400
52.734372, 83.175, -150.9509
53.100583, 83.211, -154.2469
53.466794, 83.172, -156.8624
53.833005, 83.075, -158.6738
54.199216, 82.938, -159.6108
