Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 84.662, -105.0723
31.500000, 95.601, -144.6714
40.000000, 91.248, -176.1174
50.000000, 86.813, -156.0541
63.000000, 86.339, -162.2048
80.000000, 80.173, 112.5483
100.000000, 73.691, 68.6702
125.000000, 60.321, -139.6475
160.000000, 47.076, 119.0552
200.000000, 31.108, -97.1608
250.000000, 29.424, -77.3039
315.000000, 25.844, -170.9050
400.000000, 11.417, -150.7070
500.000000, 6.041, -21.1023
630.000000, 8.869, -152.7959
800.000000, 9.016, 163.5947
1000.000000, 9.188, 156.1719
1250.000000, 8.372, -104.4258
1600.000000, 8.396, 106.0391
2000.000000, 8.545, -11.6484
2500.000000, 8.906, -148.8359
3150.000000, 5.850, 66.3047
4000.000000, 4.998, -86.7656
5000.000000, 4.564, 148.6172
6300.000000, 5.379, -134.3594
8000.000000, 10.998, -46.0781
10000.000000, 5.758, 99.3750
12500.000000, 8.431, -9.9688
16000.000000, 14.239, 76.5625
20000.000000, 19.063, -81.5000
