Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 2.408, -0.996, 2.555, -0.998, 2.622, -0.999, 2.639, -0.999, -5.000, -33.000, 0.000, Forward, -7.38, -0.98, 15.5, 0.228
63, 1/3, 4.387, -0.992, 0.000, 0.000, 0.000, 0.000, 4.649, -0.999, -5.000, -21.000, 0.000, Forward, -11.14, -2.52, 7.1, 0.339
80, 1/3, 2.537, -0.987, 3.052, -0.998, 0.000, 0.000, 3.073, -0.999, -5.000, -31.000, 0.000, Forward, -9.01, 0.75, 11.2, 0.220
100, 1/3, 2.432, -0.981, 3.072, -0.987, 0.000, 0.000, 3.077, -0.993, -5.000, -30.000, 0.000, Forward, -4.88, 1.14, 24.5, 0.196
125, 1/3, 2.090, -0.983, 2.112, -0.995, 2.112, -0.998, 2.113, -0.999, -5.000, -44.000, 0.000, Forward, -6.38, -3.51, 18.7, 0.176
160, 1/3, 1.505, -0.980, 1.519, -0.995, 1.615, -0.997, 1.692, -0.999, -5.000, -55.000, 0.000, Forward, -0.79, -0.24, 45.5, 0.116
200, 1/3, 1.284, -0.985, 1.246, -0.994, 1.232, -0.997, 1.269, -0.999, -5.000, -49.000, 0.000, Forward, 2.41, 2.95, 63.5, 0.084
250, 1/3, 0.563, -0.966, 0.915, -0.992, 0.935, -0.997, 0.937, -0.997, -5.000, -36.000, 0.000, Forward, 6.38, 8.12, 81.3, 0.047
315, 1/3, 0.480, -0.977, 0.541, -0.985, 0.591, -0.992, 0.618, -0.997, -5.000, -54.000, 0.000, Forward, 6.46, 12.45, 81.6, 0.038
400, 1/3, 0.587, -0.916, 0.462, -0.992, 0.493, -0.995, 0.548, -0.997, -5.000, -56.000, 0.000, Forward, 5.95, 12.32, 79.7, 0.029
500, 1/3, 0.450, -0.975, 0.504, -0.994, 0.542, -0.996, 0.542, -0.996, -5.000, -35.000, 0.000, Forward, 7.62, 11.77, 85.2, 0.032
630, 1/3, 0.557, -0.977, 0.443, -0.993, 0.443, -0.997, 0.459, -0.999, -5.000, -51.000, 0.000, Forward, 5.74, 9.54, 79.0, 0.038
800, 1/3, 0.391, -0.983, 0.539, -0.993, 0.557, -0.995, 0.520, -0.997, -5.000, -60.000, 0.000, Forward, 8.13, 13.09, 86.7, 0.023
1000, 1/3, 0.369, -0.984, 0.580, -0.997, 0.570, -0.999, 0.538, -0.999, -5.000, -52.000, 0.000, Forward, 8.45, 12.71, 87.5, 0.025
1250, 1/3, 0.289, -0.972, 0.569, -0.995, 0.595, -0.998, 0.599, -0.999, -9.000, -49.000, 0.000, Forward, 9.54, 14.54, 90.0, 0.019
1600, 1/3, 0.350, -0.967, 0.557, -0.983, 0.661, -0.989, 0.745, -0.997, -5.000, -60.000, 0.000, Forward, 10.05, 15.99, 91.0, 0.019
2000, 1/3, 0.384, -0.968, 0.512, -0.991, 0.710, -0.983, 0.807, -0.996, -5.000, -60.000, 0.000, Forward, 9.84, 13.71, 90.6, 0.020
2500, 1/3, 0.355, -0.932, 0.627, -0.994, 0.780, -0.991, 0.950, -0.999, -12.000, -60.000, 0.000, Forward, 10.19, 13.95, 91.3, 0.017
3150, 1/3, 0.289, -0.935, 0.668, -0.996, 0.741, -0.997, 0.772, -0.998, -11.000, -36.000, 0.000, Forward, 10.95, 14.24, 92.6, 0.015
4000, 1/3, 0.334, -0.942, 0.624, -0.997, 0.716, -0.994, 0.668, -0.997, -11.000, -29.000, 0.000, Forward, 10.42, 13.93, 91.7, 0.015
5000, 1/3, 0.253, -0.921, 0.663, -0.990, 0.678, -0.997, 0.708, -0.999, -11.000, -37.000, 0.000, Forward, 12.41, 15.99, 94.6, 0.012
6300, 1/3, 0.293, -0.934, 0.537, -0.993, 0.580, -0.996, 0.593, -0.998, -5.000, -41.000, 0.000, Forward, 12.81, 16.59, 95.0, 0.011
8000, 1/3, 0.283, -0.929, 0.433, -0.989, 0.505, -0.992, 0.569, -0.997, -5.000, -57.000, 0.000, Forward, 14.01, 18.18, 96.2, 0.011
10000, 1/3, 0.259, -0.924, 0.342, -0.996, 0.401, -0.993, 0.356, -0.997, -5.000, -29.000, 0.000, Forward, 14.38, 19.78, 96.5, 0.009

