Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.267, -0.971, 1.354, -0.999, 1.359, -1.000, 1.361, -1.000, -5.000, -36.000, 0.000, Forward, -4.87, 1.93, 24.6, 0.152
63, 1/3, 1.174, -0.882, 0.839, -0.968, 0.765, -0.989, 0.736, -0.993, -5.000, -42.000, 0.000, Forward, -4.33, 2.37, 27.0, 0.127
80, 1/3, 1.246, -0.973, 0.456, -0.993, 0.443, -0.996, 0.433, -0.996, -5.000, -34.000, 0.000, Forward, -1.93, 1.69, 39.0, 0.102
100, 1/3, 0.725, -0.968, 0.440, -0.969, 0.389, -0.986, 0.440, -0.994, -5.000, -55.000, 0.000, Forward, 1.80, 12.41, 60.2, 0.071
125, 1/3, 0.685, -0.969, 0.634, -0.946, 0.535, -0.979, 0.520, -0.995, -5.000, -60.000, 0.000, Forward, 2.09, 12.13, 61.8, 0.055
160, 1/3, 0.331, -0.922, 0.262, -0.976, 0.449, -0.966, 0.449, -0.992, -5.000, -60.000, 0.000, Forward, 14.91, 21.77, 96.9, 0.037
200, 1/3, 0.374, -0.979, 0.325, -0.991, 0.344, -0.981, 0.369, -0.994, -5.000, -54.000, 0.000, Forward, 8.71, 17.15, 88.1, 0.040
250, 1/3, 0.242, -0.838, 0.272, -0.958, 0.348, -0.983, 0.384, -0.994, -5.000, -60.000, 0.000, Forward, 15.20, 21.25, 97.1, 0.026
315, 1/3, 0.229, -0.965, 0.269, -0.981, 0.258, -0.994, 0.257, -0.996, -5.000, -40.000, 0.000, Forward, 16.93, 18.88, 98.0, 0.025
400, 1/3, 0.211, -0.963, 0.319, -0.969, 0.259, -0.985, 0.317, -0.994, -5.000, -60.000, 0.000, Forward, 15.67, 21.34, 97.4, 0.018
500, 1/3, 0.223, -0.988, 0.334, -0.994, 0.283, -0.991, 0.291, -0.996, -5.000, -43.000, 0.000, Forward, 12.47, 18.53, 94.6, 0.021
630, 1/3, 0.326, -0.980, 0.331, -0.995, 0.328, -0.998, 0.330, -0.998, -5.000, -36.000, 0.000, Forward, 10.02, 15.04, 90.9, 0.028
800, 1/3, 0.237, -0.977, 0.345, -0.988, 0.395, -0.988, 0.346, -0.994, -5.000, -31.000, 0.000, Forward, 12.79, 16.66, 95.0, 0.016
1000, 1/3, 0.246, -0.991, 0.400, -0.992, 0.471, -0.993, 0.407, -0.995, -5.000, -28.000, 0.000, Forward, 12.68, 15.97, 94.9, 0.017
1250, 1/3, 0.153, -0.989, 0.340, -0.977, 0.445, -0.983, 0.573, -0.997, -13.000, -58.000, 0.000, Forward, 17.10, 19.14, 98.1, 0.012
1600, 1/3, 0.207, -0.972, 0.443, -0.986, 0.512, -0.991, 0.544, -0.998, -11.000, -44.000, 0.000, Forward, 14.74, 18.14, 96.8, 0.012
2000, 1/3, 0.159, -0.962, 0.424, -0.989, 0.546, -0.983, 0.470, -0.993, -12.000, -30.000, 0.000, Forward, 15.41, 17.56, 97.2, 0.010
2500, 1/3, 0.125, -0.958, 0.361, -0.992, 0.558, -0.978, 0.412, -0.995, -14.000, -25.000, 0.000, Forward, 15.93, 20.49, 97.5, 0.011
3150, 1/3, 0.164, -0.967, 0.366, -0.992, 0.451, -0.990, 0.458, -0.990, -11.000, -34.000, 0.000, Forward, 13.67, 20.13, 95.9, 0.010
4000, 1/3, 0.133, -0.963, 0.464, -0.989, 0.483, -0.997, 0.497, -0.998, -11.000, -40.000, 0.000, Forward, 15.21, 18.52, 97.1, 0.010
5000, 1/3, 0.150, -0.971, 0.490, -0.968, 0.508, -0.990, 0.557, -0.998, -11.000, -52.000, 0.000, Forward, 15.67, 18.70, 97.4, 0.009
6300, 1/3, 0.166, -0.966, 0.399, -0.985, 0.429, -0.993, 0.456, -0.996, -10.000, -36.000, 0.000, Forward, 15.14, 20.19, 97.0, 0.008
8000, 1/3, 0.151, -0.983, 0.273, -0.995, 0.357, -0.987, 0.270, -0.998, -11.000, -23.000, 0.000, Forward, 16.74, 23.01, 97.9, 0.008
10000, 1/3, 0.169, -0.968, 0.241, -0.998, 0.275, -0.994, 0.248, -0.999, -5.000, -30.000, 0.000, Forward, 17.66, 24.46, 98.3, 0.007

