Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 2.472, -0.996, 2.670, -0.998, 0.000, 0.000, 2.738, -0.999, -5.000, -32.000, 0.000, Forward, -6.84, -0.78, 17.1, 0.231
63, 1/3, 4.716, -0.993, 0.000, 0.000, 0.000, 0.000, 4.774, -0.999, -5.000, -20.000, 0.000, Forward, -10.34, -2.50, 8.5, 0.363
80, 1/3, 2.285, -0.990, 2.685, -0.998, 0.000, 0.000, 2.696, -0.999, -5.000, -31.000, 0.000, Forward, -10.36, 0.58, 8.4, 0.208
100, 1/3, 2.276, -0.990, 2.766, -0.992, 0.000, 0.000, 2.824, -0.996, -5.000, -32.000, 0.000, Forward, -5.09, -0.12, 23.6, 0.195
125, 1/3, 2.428, -0.996, 1.942, -0.996, 2.130, -0.997, 2.140, -0.998, -5.000, -44.000, 0.000, Forward, -6.17, -4.68, 19.4, 0.202
160, 1/3, 1.671, -0.996, 1.582, -0.994, 1.704, -0.997, 1.782, -0.998, -5.000, -51.000, 0.000, Forward, -1.71, 1.21, 40.3, 0.123
200, 1/3, 0.834, -0.964, 1.262, -0.991, 1.275, -0.997, 1.288, -0.999, -5.000, -53.000, 0.000, Forward, 3.52, 7.60, 69.2, 0.068
250, 1/3, 0.374, -0.943, 0.955, -0.996, 0.991, -0.998, 1.021, -0.999, -9.000, -51.000, 0.000, Forward, 7.08, 10.00, 83.6, 0.039
315, 1/3, 0.291, -0.963, 0.449, -0.975, 0.532, -0.986, 0.532, -0.994, -5.000, -50.000, 0.000, Forward, 9.68, 10.65, 90.3, 0.029
400, 1/3, 0.371, -0.960, 0.555, -0.994, 0.573, -0.998, 0.623, -0.998, -5.000, -54.000, 0.000, Forward, 9.58, 13.40, 90.1, 0.025
500, 1/3, 0.433, -0.981, 0.553, -0.992, 0.553, -0.997, 0.559, -0.998, -5.000, -41.000, 0.000, Forward, 7.29, 11.51, 84.3, 0.032
630, 1/3, 0.438, -0.991, 0.410, -0.993, 0.425, -0.997, 0.465, -0.998, -5.000, -55.000, 0.000, Forward, 7.64, 11.24, 85.3, 0.034
800, 1/3, 0.427, -0.970, 0.473, -0.995, 0.485, -0.998, 0.530, -0.999, -5.000, -60.000, 0.000, Forward, 8.35, 10.94, 87.2, 0.023
1000, 1/3, 0.383, -0.975, 0.581, -0.995, 0.550, -0.997, 0.543, -0.999, -5.000, -45.000, 0.000, Forward, 8.07, 10.04, 86.5, 0.025
1250, 1/3, 0.370, -0.962, 0.500, -0.994, 0.527, -0.997, 0.562, -0.998, -5.000, -53.000, 0.000, Forward, 9.43, 14.23, 89.8, 0.019
1600, 1/3, 0.351, -0.980, 0.600, -0.991, 0.637, -0.995, 0.669, -0.999, -5.000, -58.000, 0.000, Forward, 10.05, 14.12, 91.0, 0.019
2000, 1/3, 0.329, -0.984, 0.618, -0.993, 0.720, -0.993, 0.800, -0.999, -11.000, -60.000, 0.000, Forward, 9.57, 14.31, 90.1, 0.019
2500, 1/3, 0.211, -0.964, 0.682, -0.991, 0.752, -0.996, 0.796, -0.999, -11.000, -39.000, 0.000, Forward, 12.10, 14.87, 94.2, 0.016
3150, 1/3, 0.360, -0.961, 0.705, -0.995, 0.777, -0.997, 0.846, -0.999, -10.000, -44.000, 0.000, Forward, 10.48, 13.86, 91.8, 0.016
4000, 1/3, 0.282, -0.961, 0.628, -0.997, 0.711, -0.996, 0.743, -0.998, -10.000, -37.000, 0.000, Forward, 10.90, 13.74, 92.5, 0.016
5000, 1/3, 0.308, -0.978, 0.639, -0.993, 0.666, -0.998, 0.693, -0.999, -10.000, -38.000, 0.000, Forward, 11.29, 14.06, 93.1, 0.016
6300, 1/3, 0.323, -0.978, 0.579, -0.989, 0.657, -0.994, 0.723, -0.999, -12.000, -59.000, 0.000, Forward, 11.94, 15.90, 94.0, 0.014
8000, 1/3, 0.271, -0.969, 0.417, -0.988, 0.493, -0.991, 0.341, -0.996, -5.000, -20.000, 0.000, Forward, 12.54, 18.66, 94.7, 0.012
10000, 1/3, 0.323, -0.956, 0.326, -0.996, 0.388, -0.993, 0.309, -0.997, -5.000, -23.000, 0.000, Forward, 13.75, 19.57, 96.0, 0.010

