Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.277, -0.970, 1.327, -1.000, 1.313, -1.000, 1.315, -1.000, -5.000, -37.000, 0.000, Forward, -4.94, 1.70, 24.3, 0.152
63, 1/3, 1.171, -0.859, 0.793, -0.957, 0.698, -0.988, 0.859, -0.990, -5.000, -50.000, 0.000, Forward, -3.31, 3.61, 31.8, 0.119
80, 1/3, 1.087, -0.986, 0.357, -0.973, 0.344, -0.990, 0.350, -0.993, -5.000, -38.000, 0.000, Forward, 2.06, 3.08, 61.6, 0.086
100, 1/3, 0.488, -0.889, 0.410, -0.962, 0.334, -0.981, 0.363, -0.989, -5.000, -51.000, 0.000, Forward, 9.10, 9.02, 89.1, 0.061
125, 1/3, 0.680, -0.987, 0.350, -0.966, 0.382, -0.986, 0.405, -0.995, -5.000, -50.000, 0.000, Forward, 2.76, 9.12, 65.4, 0.051
160, 1/3, 0.313, -0.932, 0.389, -0.970, 0.367, -0.988, 0.401, -0.995, -5.000, -53.000, 0.000, Forward, 10.49, 13.62, 91.8, 0.040
200, 1/3, 0.382, -0.944, 0.451, -0.923, 0.417, -0.975, 0.406, -0.995, -5.000, -58.000, 0.000, Forward, 13.93, 18.67, 96.1, 0.037
250, 1/3, 0.229, -0.884, 0.441, -0.961, 0.381, -0.989, 0.409, -0.997, -5.000, -60.000, 0.000, Forward, 14.99, 18.09, 96.9, 0.025
315, 1/3, 0.170, -0.983, 0.290, -0.966, 0.339, -0.975, 0.357, -0.995, -5.000, -55.000, 0.000, Forward, 17.10, 23.14, 98.1, 0.018
400, 1/3, 0.299, -0.938, 0.271, -0.905, 0.242, -0.976, 0.274, -0.994, -5.000, -60.000, 0.000, Forward, 10.09, 24.49, 91.1, 0.018
500, 1/3, 0.292, -0.961, 0.277, -0.986, 0.257, -0.992, 0.271, -0.998, -5.000, -60.000, 0.000, Forward, 11.34, 18.40, 93.2, 0.021
630, 1/3, 0.199, -0.943, 0.235, -0.989, 0.289, -0.990, 0.303, -0.996, -5.000, -50.000, 0.000, Forward, 13.10, 20.24, 95.3, 0.023
800, 1/3, 0.188, -0.958, 0.344, -0.987, 0.330, -0.995, 0.344, -0.998, -5.000, -58.000, 0.000, Forward, 12.68, 18.89, 94.9, 0.017
1000, 1/3, 0.230, -0.990, 0.299, -0.995, 0.362, -0.992, 0.367, -0.997, -5.000, -45.000, 0.000, Forward, 13.14, 19.10, 95.4, 0.017
1250, 1/3, 0.236, -0.972, 0.414, -0.993, 0.444, -0.996, 0.434, -0.998, -5.000, -44.000, 0.000, Forward, 12.55, 16.71, 94.7, 0.015
1600, 1/3, 0.134, -0.967, 0.397, -0.986, 0.502, -0.988, 0.643, -0.997, -13.000, -54.000, 0.000, Forward, 14.76, 20.31, 96.8, 0.013
2000, 1/3, 0.196, -0.981, 0.396, -0.991, 0.576, -0.977, 0.454, -0.995, -13.000, -27.000, 0.000, Forward, 14.02, 18.32, 96.2, 0.013
2500, 1/3, 0.221, -0.964, 0.414, -0.994, 0.714, -0.962, 1.093, -0.994, -14.000, -60.000, 0.000, Forward, 13.06, 16.95, 95.3, 0.012
3150, 1/3, 0.173, -0.941, 0.471, -0.990, 0.552, -0.994, 0.587, -0.998, -12.000, -37.000, 0.000, Forward, 14.77, 17.72, 96.8, 0.011
4000, 1/3, 0.195, -0.969, 0.455, -0.983, 0.585, -0.987, 0.670, -0.996, -12.000, -42.000, 0.000, Forward, 13.69, 18.49, 95.9, 0.010
5000, 1/3, 0.153, -0.935, 0.418, -0.985, 0.496, -0.991, 0.505, -0.996, -11.000, -33.000, 0.000, Forward, 14.71, 19.68, 96.7, 0.008
6300, 1/3, 0.147, -0.962, 0.341, -0.991, 0.422, -0.990, 0.382, -0.996, -11.000, -27.000, 0.000, Forward, 15.74, 20.98, 97.4, 0.007
8000, 1/3, 0.164, -0.963, 0.299, -0.994, 0.352, -0.990, 0.448, -0.997, -11.000, -60.000, 0.000, Forward, 15.83, 22.02, 97.5, 0.008
10000, 1/3, 0.144, -0.948, 0.260, -0.997, 0.275, -0.998, 0.270, -0.998, -5.000, -32.000, 0.000, Forward, 16.86, 23.98, 98.0, 0.006

