Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 2.391, -0.996, 2.631, -0.998, 0.000, 0.000, 2.740, -0.998, -5.000, -34.000, 0.000, Forward, -7.17, -0.84, 16.1, 0.227
63, 1/3, 4.549, -0.993, 0.000, 0.000, 0.000, 0.000, 4.753, -0.999, -5.000, -20.000, 0.000, Forward, -10.68, -2.40, 7.9, 0.350
80, 1/3, 2.354, -0.988, 2.859, -0.998, 0.000, 0.000, 2.862, -0.999, -5.000, -31.000, 0.000, Forward, -9.58, 0.89, 9.9, 0.211
100, 1/3, 1.408, -0.990, 0.000, 0.000, 0.000, 0.000, 1.743, -0.993, -5.000, -20.000, 0.000, Forward, -4.90, 2.29, 24.5, 0.138
125, 1/3, 2.268, -0.988, 2.036, -0.995, 2.160, -0.998, 2.175, -0.999, -5.000, -44.000, 0.000, Forward, -5.98, -3.91, 20.1, 0.186
160, 1/3, 1.666, -0.988, 1.584, -0.997, 1.695, -0.998, 1.778, -0.999, -5.000, -55.000, 0.000, Forward, -0.86, 0.35, 45.1, 0.118
200, 1/3, 0.877, -0.962, 1.289, -0.996, 1.291, -0.999, 1.304, -1.000, -5.000, -60.000, 0.000, Forward, 5.13, 6.59, 76.5, 0.066
250, 1/3, 0.266, -0.944, 1.005, -0.982, 0.899, -0.992, 0.985, -0.997, -7.000, -54.000, 0.000, Forward, 9.66, 9.92, 90.2, 0.036
315, 1/3, 0.290, -0.975, 0.518, -0.993, 0.520, -0.995, 0.526, -0.998, -5.000, -45.000, 0.000, Forward, 10.85, 11.81, 92.4, 0.027
400, 1/3, 0.450, -0.933, 0.432, -0.992, 0.476, -0.993, 0.472, -0.997, -5.000, -45.000, 0.000, Forward, 8.60, 14.20, 87.9, 0.024
500, 1/3, 0.381, -0.971, 0.473, -0.992, 0.550, -0.992, 0.570, -0.998, -5.000, -54.000, 0.000, Forward, 8.67, 13.83, 88.0, 0.027
630, 1/3, 0.354, -0.996, 0.461, -0.997, 0.473, -0.998, 0.482, -0.999, -5.000, -43.000, 0.000, Forward, 8.83, 13.44, 88.4, 0.030
800, 1/3, 0.488, -0.955, 0.430, -0.994, 0.477, -0.994, 0.478, -0.997, -5.000, -46.000, 0.000, Forward, 7.54, 11.14, 85.0, 0.023
1000, 1/3, 0.347, -0.982, 0.544, -0.999, 0.520, -0.999, 0.512, -0.999, -5.000, -47.000, 0.000, Forward, 9.16, 11.91, 89.2, 0.022
1250, 1/3, 0.271, -0.980, 0.552, -0.994, 0.570, -0.997, 0.569, -0.999, -9.000, -53.000, 0.000, Forward, 9.99, 15.31, 90.9, 0.018
1600, 1/3, 0.332, -0.974, 0.552, -0.984, 0.603, -0.992, 0.670, -0.996, -5.000, -52.000, 0.000, Forward, 10.37, 15.69, 91.6, 0.019
2000, 1/3, 0.296, -0.978, 0.517, -0.988, 0.666, -0.988, 0.832, -0.999, -12.000, -60.000, 0.000, Forward, 11.24, 15.82, 93.0, 0.018
2500, 1/3, 0.175, -0.937, 0.593, -0.997, 0.749, -0.991, 0.915, -0.998, -11.000, -60.000, 0.000, Forward, 12.12, 15.36, 94.2, 0.016
3150, 1/3, 0.342, -0.964, 0.643, -0.996, 0.722, -0.996, 0.711, -0.998, -10.000, -32.000, 0.000, Forward, 10.21, 12.74, 91.3, 0.021
4000, 1/3, 0.282, -0.967, 0.668, -0.994, 0.738, -0.996, 0.731, -0.999, -10.000, -30.000, 0.000, Forward, 9.81, 12.52, 90.5, 0.024
5000, 1/3, 0.293, -0.953, 0.636, -0.995, 0.656, -0.998, 0.677, -0.999, -9.000, -36.000, 0.000, Forward, 10.19, 12.98, 91.3, 0.021
6300, 1/3, 0.262, -0.944, 0.552, -0.989, 0.588, -0.996, 0.621, -0.999, -11.000, -40.000, 0.000, Forward, 13.19, 16.74, 95.4, 0.012
8000, 1/3, 0.170, -0.961, 0.418, -0.985, 0.486, -0.991, 0.531, -0.999, -11.000, -46.000, 0.000, Forward, 15.15, 19.53, 97.0, 0.008
10000, 1/3, 0.216, -0.948, 0.321, -0.996, 0.369, -0.995, 0.324, -0.997, -5.000, -27.000, 0.000, Forward, 15.37, 20.93, 97.2, 0.007

