Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.292, -0.972, 1.367, -1.000, 1.385, -1.000, 1.377, -1.000, -5.000, -32.000, 0.000, Forward, -5.07, 1.77, 23.7, 0.153
63, 1/3, 1.183, -0.868, 0.866, -0.962, 0.766, -0.989, 0.765, -0.993, -5.000, -42.000, 0.000, Forward, -4.12, 2.46, 27.9, 0.124
80, 1/3, 1.233, -0.977, 0.441, -0.992, 0.419, -0.995, 0.418, -0.996, -5.000, -36.000, 0.000, Forward, 0.03, 2.11, 50.2, 0.095
100, 1/3, 0.497, -0.953, 0.345, -0.984, 0.386, -0.991, 0.420, -0.995, -5.000, -56.000, 0.000, Forward, 7.10, 11.39, 83.7, 0.059
125, 1/3, 0.607, -0.975, 0.443, -0.985, 0.468, -0.991, 0.487, -0.995, -5.000, -60.000, 0.000, Forward, 2.51, 10.96, 64.0, 0.051
160, 1/3, 0.336, -0.907, 0.359, -0.966, 0.426, -0.986, 0.450, -0.995, -5.000, -60.000, 0.000, Forward, 13.34, 17.09, 95.6, 0.037
200, 1/3, 0.315, -0.953, 0.358, -0.984, 0.294, -0.977, 0.335, -0.992, -5.000, -55.000, 0.000, Forward, 12.52, 18.77, 94.7, 0.034
250, 1/3, 0.231, -0.850, 0.399, -0.938, 0.433, -0.978, 0.491, -0.995, -5.000, -60.000, 0.000, Forward, 16.53, 20.85, 97.8, 0.025
315, 1/3, 0.198, -0.980, 0.288, -0.978, 0.251, -0.986, 0.238, -0.989, -5.000, -38.000, 0.000, Forward, 17.45, 19.69, 98.2, 0.021
400, 1/3, 0.186, -0.957, 0.280, -0.995, 0.288, -0.992, 0.282, -0.997, -5.000, -55.000, 0.000, Forward, 14.98, 22.43, 96.9, 0.016
500, 1/3, 0.208, -0.932, 0.275, -0.987, 0.330, -0.987, 0.338, -0.997, -5.000, -56.000, 0.000, Forward, 15.54, 21.74, 97.3, 0.020
630, 1/3, 0.254, -0.977, 0.360, -0.939, 0.324, -0.981, 0.339, -0.994, -5.000, -49.000, 0.000, Forward, 15.63, 17.56, 97.3, 0.023
800, 1/3, 0.255, -0.949, 0.349, -0.981, 0.422, -0.985, 0.464, -0.991, -5.000, -45.000, 0.000, Forward, 14.32, 18.08, 96.4, 0.015
1000, 1/3, 0.265, -0.990, 0.415, -0.986, 0.499, -0.982, 0.402, -0.991, -5.000, -29.000, 0.000, Forward, 13.03, 15.73, 95.3, 0.017
1250, 1/3, 0.223, -0.931, 0.411, -0.991, 0.458, -0.995, 0.488, -0.997, -10.000, -37.000, 0.000, Forward, 13.46, 16.95, 95.7, 0.012
1600, 1/3, 0.259, -0.954, 0.414, -0.975, 0.597, -0.976, 0.557, -0.996, -15.000, -29.000, 0.000, Forward, 14.82, 19.12, 96.8, 0.013
2000, 1/3, 0.208, -0.937, 0.528, -0.981, 0.854, -0.969, 1.036, -0.996, -14.000, -60.000, 0.000, Forward, 13.25, 18.51, 95.5, 0.013
2500, 1/3, 0.125, -0.941, 0.468, -0.986, 0.900, -0.953, 1.062, -0.995, -15.000, -60.000, 0.000, Forward, 14.76, 17.18, 96.8, 0.013
3150, 1/3, 0.207, -0.965, 0.517, -0.990, 0.619, -0.991, 0.596, -0.994, -11.000, -32.000, 0.000, Forward, 11.81, 16.08, 93.8, 0.015
4000, 1/3, 0.191, -0.945, 0.489, -0.978, 0.539, -0.992, 0.589, -0.998, -11.000, -39.000, 0.000, Forward, 13.60, 17.26, 95.8, 0.017
5000, 1/3, 0.196, -0.944, 0.451, -0.991, 0.495, -0.996, 0.519, -0.998, -11.000, -35.000, 0.000, Forward, 13.01, 17.18, 95.2, 0.015
6300, 1/3, 0.126, -0.957, 0.411, -0.986, 0.459, -0.993, 0.499, -0.997, -12.000, -38.000, 0.000, Forward, 16.17, 20.54, 97.6, 0.009
8000, 1/3, 0.137, -0.907, 0.281, -0.988, 0.362, -0.987, 0.507, -0.996, -12.000, -60.000, 0.000, Forward, 18.34, 23.50, 98.6, 0.006
10000, 1/3, 0.161, -0.858, 0.253, -0.993, 0.298, -0.993, 0.277, -0.995, -5.000, -32.000, 0.000, Forward, 18.67, 24.05, 98.7, 0.005

