Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 83.035, 86.9258
63.000000, 87.890, 166.9128
80.000000, 80.749, 124.8162
100.000000, 79.525, -9.4122
125.000000, 80.323, 45.4504
160.000000, 84.392, 130.8364
200.000000, 81.228, 7.6736
250.000000, 79.767, 106.5991
315.000000, 79.938, 45.7056
400.000000, 82.101, 19.1787
500.000000, 81.743, 164.1001
630.000000, 80.048, 85.7427
800.000000, 81.780, -87.6484
1000.000000, 79.937, -167.3750
1250.000000, 80.485, -114.9199
1600.000000, 78.627, 105.3623
2000.000000, 78.250, -148.7197
2500.000000, 77.165, -82.1465
3150.000000, 76.408, 21.5664
4000.000000, 76.574, 100.0312
5000.000000, 77.951, -53.8438
6300.000000, 77.689, -6.2832
8000.000000, 76.985, 82.5391
10000.000000, 76.052, -22.3047
12500.000000, 74.465, 62.7109
16000.000000, 73.054, -63.6406
