Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 82.847, 74.1017
63.000000, 83.385, 139.9243
80.000000, 75.947, 77.9067
100.000000, 75.986, 112.7271
125.000000, 75.629, 57.6360
160.000000, 83.741, 89.1807
200.000000, 81.442, 8.3215
250.000000, 80.009, 158.5073
315.000000, 82.873, 159.8086
400.000000, 84.575, 70.0352
500.000000, 83.110, -37.6792
630.000000, 81.211, -7.4858
800.000000, 81.869, 179.4268
1000.000000, 80.232, -165.2861
1250.000000, 81.126, -20.6284
1600.000000, 80.914, 67.9629
2000.000000, 80.044, -36.7100
2500.000000, 78.212, -176.7422
3150.000000, 77.419, -10.1455
4000.000000, 77.427, 147.0107
5000.000000, 78.249, 118.6377
6300.000000, 78.732, 61.2012
8000.000000, 77.826, -81.9707
10000.000000, 76.993, 2.6895
12500.000000, 75.418, 65.4688
16000.000000, 74.175, 13.4785
