Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 82.836, 83.2296
63.000000, 87.784, 170.4290
80.000000, 80.100, 129.4860
100.000000, 77.702, -11.4965
125.000000, 81.683, -23.4114
160.000000, 83.467, -54.1804
200.000000, 83.825, 166.9810
250.000000, 81.735, 158.9067
315.000000, 82.731, -169.6646
400.000000, 83.330, -45.6978
500.000000, 82.248, -36.1875
630.000000, 81.483, 136.7280
800.000000, 81.234, 151.8047
1000.000000, 79.784, -126.8164
1250.000000, 80.319, -46.1289
1600.000000, 78.710, -74.2246
2000.000000, 77.649, 138.9961
2500.000000, 77.864, -156.6738
3150.000000, 75.574, 107.3418
4000.000000, 76.813, -68.9863
5000.000000, 77.688, 167.4648
6300.000000, 77.342, 141.2344
8000.000000, 76.341, 58.3047
10000.000000, 75.564, 137.4609
12500.000000, 73.974, -136.2148
16000.000000, 72.425, 54.4219
