Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 82.979, -108.6967
63.000000, 83.933, -40.8916
80.000000, 77.750, 8.3196
100.000000, 79.043, -117.1296
125.000000, 77.109, 44.6005
160.000000, 87.165, -76.4164
200.000000, 82.246, 172.4537
250.000000, 81.494, -33.0773
315.000000, 81.315, -99.4954
400.000000, 83.128, 130.6365
500.000000, 83.501, 157.1609
630.000000, 81.961, -149.5581
800.000000, 83.800, 90.3652
1000.000000, 81.336, -80.1890
1250.000000, 81.782, 132.3574
1600.000000, 80.078, 136.0103
2000.000000, 79.742, 140.8691
2500.000000, 79.316, 137.2324
3150.000000, 78.207, 70.0205
4000.000000, 78.828, -66.9268
5000.000000, 79.894, 70.1670
6300.000000, 79.599, -17.4961
8000.000000, 78.982, -86.0840
10000.000000, 78.257, 62.9258
12500.000000, 76.855, 65.1484
16000.000000, 75.463, 156.6934
