Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 88.955, 83.7633
63.000000, 93.849, 167.4385
80.000000, 86.415, 127.8118
100.000000, 83.829, 137.0077
125.000000, 86.296, -68.1389
160.000000, 89.257, 161.5232
200.000000, 87.946, 153.7219
250.000000, 86.317, 151.0266
315.000000, 86.664, -179.4395
400.000000, 88.007, -2.4688
500.000000, 86.934, 94.1201
630.000000, 85.054, 127.9883
800.000000, 85.983, -106.2896
1000.000000, 83.670, 5.1509
1250.000000, 84.441, 76.7900
1600.000000, 82.852, 112.9307
2000.000000, 81.221, -130.9951
2500.000000, 81.213, 130.7344
3150.000000, 77.722, -88.2324
4000.000000, 77.420, -139.9590
5000.000000, 79.072, 171.6445
6300.000000, 80.700, -105.4727
8000.000000, 80.813, -103.8203
10000.000000, 79.497, 10.0625
12500.000000, 75.294, -126.8906
16000.000000, 76.574, 20.8047
