Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 88.945, 67.0099
63.000000, 89.303, 130.9336
80.000000, 81.727, 62.8313
100.000000, 81.194, 81.6516
125.000000, 78.773, 58.4705
160.000000, 88.182, 68.4097
200.000000, 87.084, 50.5200
250.000000, 85.130, 145.2959
315.000000, 88.993, 66.8374
400.000000, 87.933, -5.5325
500.000000, 86.112, 77.9160
630.000000, 85.174, 70.2566
800.000000, 85.738, -61.0283
1000.000000, 83.780, -78.3555
1250.000000, 84.595, 143.7988
1600.000000, 84.249, 66.4531
2000.000000, 83.285, -83.9512
2500.000000, 80.538, -2.3716
3150.000000, 78.288, 138.3794
4000.000000, 76.635, -87.0078
5000.000000, 77.482, -109.6621
6300.000000, 80.952, -1.9434
8000.000000, 82.009, -132.2344
10000.000000, 81.255, -120.8262
12500.000000, 75.745, -104.5840
16000.000000, 77.971, -60.3145
